SISRecID_BLVr9,HBWv8.1_Binomial,Order,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22698084,Pterodroma_incerta,PROCELLARIIFORMES,29,Furness 1985a,Atlantic Petrel,Gough Island,-40.318641,-9.935332,Mixed,1983,1983,1983,1,13,3.605551275,0.076923077,-2.47660585,Yes,1983
22698084,Pterodroma_incerta,PROCELLARIIFORMES,30,Petry et al. 2002,Atlantic Petrel,"Coast of Rio Grande do Sul, Brazil",-30.68603,-50.473274,Subadult/Adult,1997-1998,1997,1998,2,4,2,0,-7.265129978,No,1998
22698084,Pterodroma_incerta,PROCELLARIIFORMES,31,Ryan 1987,Atlantic Petrel,South Africa,-30.559482,22.937506,Mixed,1979-1985,1979,1985,7,20,4.472135955,0.1,-2.191026439,Yes,1982
22694927,Fratercula_arctica,CHARADRIIFORMES,32,Acampora et al. 2016,Atlantic Puffin,Ireland,"52.430796,",-6.276479,Subadult/Adult,2014-2016,2014,2016,3,3,1.732050808,0.33,-0.707110323,Yes,2015
22694927,Fratercula_arctica,CHARADRIIFORMES,33,Below 1960,Atlantic Puffin,"Hornsea, Yorkshire, UK",53.9104,-0.173953,Subadult,1960,1960,1960,1,1,1,1,7.265129978,Yes,1960
22694927,Fratercula_arctica,CHARADRIIFORMES,34,Harris and Wanless 1994,Atlantic Puffin,North Sea/Atlantic,56.511018,3.515625,Subadult/Adult,1969-1992,1969,1992,24,315,17.74823935,0.13,-1.896392865,Yes,1981
22694927,Fratercula_arctica,CHARADRIIFORMES,35,Lydersen et al. 1989,Atlantic Puffin,Hornsund,76.881101,15.9084,Adult,1984,1984,1984,1,14,3.741657387,0,-7.265129978,No,1984
22694927,Fratercula_arctica,CHARADRIIFORMES,36,Parslow and Jefferies 1972,Atlantic Puffin,United Kingdom,55.378051,-3.435973,Nest-bound,1969-1971,1969,1971,3,5,2.236067977,0.6,0.404882624,Yes,1970
22694927,Fratercula_arctica,CHARADRIIFORMES,37,Parslow and Jefferies 1972,Atlantic Puffin,United Kingdom,55.378051,-3.435973,Adult,1969-1971,1969,1971,3,1,1,1,7.265129978,Yes,1970
22694927,Fratercula_arctica,CHARADRIIFORMES,38,Provencher et al. 2014,Atlantic Puffin,"Gull Is, Newfoundland",47.954111,-53.044682,Adult,1999,1999,1999,1,2,1.414213562,0,-7.265129978,No,1999
