Order,Family,Subfamily,Tribe,Common_name,Binomial,Genus,IUCN_2023,Synonyms
PROCELLARIIFORMES,Diomedeidae,NA,NA,Wandering Albatross,Diomedea exulans,Diomedea,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Antipodean Albatross,Diomedea antipodensis,Diomedea,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Amsterdam Albatross,Diomedea amsterdamensis,Diomedea,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Tristan Albatross,Diomedea dabbenena,Diomedea,CR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Sooty Albatross,Phoebetria fusca,Phoebetria,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Light-mantled Albatross,Phoebetria palpebrata,Phoebetria,NT,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Waved Albatross,Phoebastria irrorata,Phoebastria,CR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Black-footed Albatross,Phoebastria nigripes,Phoebastria,NT,Diomedea nigripes
PROCELLARIIFORMES,Diomedeidae,NA,NA,Laysan Albatross,Phoebastria immutabilis,Phoebastria,NT,Diomedea immutabilis
PROCELLARIIFORMES,Diomedeidae,NA,NA,Short-tailed Albatross,Phoebastria albatrus,Phoebastria,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Thalassarche,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Indian Yellow-nosed Albatross,Thalassarche carteri,Thalassarche,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Grey-headed Albatross,Thalassarche chrysostoma,Thalassarche,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Black-browed Albatross,Thalassarche melanophris,Thalassarche,LC,Thalassarche melanophris
PROCELLARIIFORMES,Diomedeidae,NA,NA,Campbell Albatross,Thalassarche impavida,Thalassarche,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Buller's Albatross,Thalassarche bulleri,Thalassarche,NT,Diomedea bulleri
PROCELLARIIFORMES,Diomedeidae,NA,NA,Shy Albatross,Thalassarche cauta,Thalassarche,NT,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,White-capped Albatross,Thalassarche steadi,Thalassarche,NT,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Chatham Albatross,Thalassarche eremita,Thalassarche,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Salvin's Albatross,Thalassarche salvini,Thalassarche,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Northern Giant Petrel,Macronectes halli,Macronectes,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Southern Giant Petrel,Macronectes giganteus,Macronectes,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Northern Fulmar,Fulmarus glacialis,Fulmarus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Southern Fulmar,Fulmarus glacialoides,Fulmarus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Antarctic Petrel,Thalassoica antarctica,Thalassoica,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cape Petrel,Daption capense,Daption,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Snow Petrel,Pagodroma nivea,Pagodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Blue Petrel,Halobaena caerulea,Halobaena,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Broad-billed Prion,Pachyptila vittata,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Salvin's Prion,Pachyptila salvini,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,MacGillivray's Prion,Pachyptila macgillivrayi,Pachyptila,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Antarctic Prion,Pachyptila desolata,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Slender-billed Prion,Pachyptila belcheri,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fairy Prion,Pachyptila turtur,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fulmar Prion,Pachyptila crassirostris,Pachyptila,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Kerguelen Petrel,Aphrodroma brevirostris,Aphrodroma,LC,Aphrodroma brevirostris; Pterodroma brevirostris; Lugensa brevirostris
PROCELLARIIFORMES,Procellariidae,NA,NA,Large Saint Helena Petrel,Pterodroma rupinarum,Pterodroma,EX,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-winged Petrel,Pterodroma leucoptera,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Collared Petrel,Pterodroma brevipes,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Masatierra Petrel,Pterodroma defilippiana,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Stejneger's Petrel,Pterodroma longirostris,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Cook's Petrel,Pterodroma cookii,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Pycroft's Petrel,Pterodroma pycrofti,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Bonin Petrel,Pterodroma hypoleuca,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Black-winged Petrel,Pterodroma nigripennis,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Chatham Islands Petrel,Pterodroma axillaris,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Murphy's Petrel,Pterodroma ultima,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Providence Petrel,Pterodroma solandri,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Kermadec Petrel,Pterodroma neglecta,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Trindade Petrel,Pterodroma arminjoniana,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Herald Petrel,Pterodroma heraldica,Pterodroma,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Henderson Petrel,Pterodroma atrata,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Phoenix Petrel,Pterodroma alba,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Barau's Petrel,Pterodroma baraui,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Mottled Petrel,Pterodroma inexpectata,Pterodroma,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Hawaiian Petrel,Pterodroma sandwichensis,Pterodroma,EN,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Galapagos Petrel,Pterodroma phaeopygia,Pterodroma,CR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,White-necked Petrel,Pterodroma cervicalis,Pterodroma,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Juan Fernandez Petrel,Pterodroma externa,Pterodroma,VU,NA
