HBWv8.1_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method,Added_by,Comments
Thalassarche chlororhynchos,50,Ryan et al. 2016,Atlantic Yellow-nosed Albatross,NA,South Africa,-38.442178,20.988808,Indian Ocean,Subadult/Adult,2005-2015,2005,2015,2010,11,18,0,0,No,NA,SA-G,NA
Thalassarche melanophris,75,Ryan et al. 2016,Black-browed Albatross,NA,South Africa,-38.442178,20.988808,Indian Ocean,Subadult/Adult,2005-2015,2005,2015,2010,11,157,0,0,No,NA,SA-G,NA
Thalassarche carteri,389,Ryan et al. 2016,Indian Yellow-nosed Albatross,NA,South Africa,-38.442178,20.988808,Indian Ocean,Subadult/Adult,2005-2015,2005,2015,2010,11,77,1,0.019,Yes,NA,SA-G,NA
Thalassarche cauta,776,Ryan et al. 2016,Shy Albatross,NA,South Africa,-38.442178,20.988808,Indian Ocean,Subadult/Adult,2005-2015,2005,2015,2010,11,601,16,0.027,Yes,NA,SA-G,NA
Diomedea dabbenena,962,Ryan et al. 2016,Tristan Albatross,NA,South Africa,-38.442178,20.988808,Indian Ocean,Subadult/Adult,2005-2015,2005,2015,2010,11,5,0,0,No,NA,SA-G,NA
Diomedea exulans,983,Ryan et al. 2016,Wandering Albatross,NA,South Africa,-38.442178,20.988808,Indian Ocean,Subadult/Adult,2005-2015,2005,2015,2010,11,4,0,0,No,NA,SA-G,NA
Thalassarche chlororhynchos,44,Colabuono et al. 2009,Atlantic Yellow-nosed Albatross,NA,Brazil,-14.235004,-51.92528,South Pacific Ocean,Subadult/Adult,1994-2005,1994,2005,2000,12,27,2,0.07,Yes,NA,SA-G,NA
Thalassarche melanophris,70,Colabuono et al. 2009,Black-browed Albatross,NA,Brazil,-14.235004,-51.92528,South Pacific Ocean,Subadult/Adult,1994-2005,1994,2005,2000,12,59,7,0.12,Yes,NA,SA-G,NA
Diomedea dabbenena,959,Colabuono et al. 2010,Tristan Albatross,NA,Brazil,-14.235004,-51.92528,South Pacific Ocean,Subadult/Adult,1991-2008,1991,2008,2000,18,1,0,0,No,NA,SA-G,NA
Diomedea exulans,975,Colabuono et al. 2010,Wandering Albatross,NA,Brazil,-14.235004,-51.92528,South Pacific Ocean,Subadult/Adult,1991-2008,1991,2008,2000,18,3,0,0,No,NA,SA-G,NA
Phoebastria albatrus,692,McDermond & Morgan 1993,Short-tailed Albatross,NA,Torishima,34.683420999999996,135.44196,North Pacific Ocean,Mixed,NA,NA,NA,#NUM!,NA,11,7,0.636363636,Yes,NA,SA-G,NA
Phoebastria albatrus,693,Rappoport 2000,Short-tailed Albatross,NA,Torishima,34.683420999999996,135.44196,North Pacific Ocean,Mixed,NA,NA,NA,#NUM!,NA,NA,NA,NA,Yes,NA,SA-G,NA
Thalassarche chlororhynchos,42,Barbieri 2009,Atlantic Yellow-nosed Albatross,NA,"Brazil, Sao Paulo",-14.235004,-51.92528,South Pacific Ocean,Adult,2000-2002,2000,2002,2001,3,9,4,0.4444,Yes,NA,SA-G,NA
Thalassarche melanophris,68,Barbieri 2009,Black-browed Albatross,NA,"Brazil, Sao Paulo",-14.235004,-51.92528,South Pacific Ocean,Adult,2000-2002,2000,2002,2001,3,26,19,0.7307,Yes,NA,SA-G,NA
Fregata minor,350,Sileo et al. 1990a,Greater Frigatebird,NA,Midway Atoll,28.210076,-177.376111,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,45,8,0.18,Yes,NA,SA-G,NA
Fregata ariel,1099,Roman et al. 2016,Lesser Frigatebird,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Fregata magnificens,500,Lavers pers. obs.,Magnificent Frigatebird,NA,St. Vincent,39.989602,-85.916289,North Atlantic Ocean,Adult,2014,2014,2014,2014,1,1,1,1,Yes,NA,SA-G,NA
Fregata magnificens,501,Tavares et al. 2017,Magnificent Frigatebird,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,4,0,0,No,NA,SA-G,NA
Fregata magnificens,503,Tavares et al. 2017,Magnificent Frigatebird,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Fregata magnificens,502,Tavares et al. 2017,Magnificent Frigatebird,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2012,2012,2012,2012,1,3,0,0,No,NA,SA-G,NA
Fregata magnificens,504,Tavares et al. 2017,Magnificent Frigatebird,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Fregata minor,349,Day et al. 1984/Harrison et al. 1983,Greater Frigatebird,NA,Hawaii,19.896766,-155.582782,North Pacific Ocean,Mixed,1978-1981,1978,1981,1980,4,284,0,0,No,NA,SA-G,NA
Fregata minor,348,Ainley et al. 1990b,Greater Frigatebird,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,3,0,0,No,NA,SA-G,NA
Gavia immer,202,Avery-Gomm et al. 2013,Common Loon,NA,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean,Adult,2010,2010,2010,2010,1,2,0,0,No,NA,SA-G,NA
Gavia pacifica,597,Avery-Gomm et al. 2013,Pacific Loon,NA,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean,Adult,2010,2010,2010,2010,1,2,0,0,No,NA,SA-G,NA
Gavia stellata,672,Avery-Gomm et al. 2013,Red-throated Loon,NA,"Vancouver, BC",49.282729,-123.120738,North Pacific Ocean,Adult,2006-2010,2006,2010,2008,5,2,0,0,No,NA,SA-G,NA
Hydrobates pelagicus,277,Furness 1985b,European Storm-petrel,NA,"Dun, St. Kilda",57.79837300000001,-8.566646,North Atlantic Ocean,Subadult/Adult,1983,1983,1983,1983,1,21,0,0,No,NA,SA-G,NA
Hydrobates furcatus,298,Blight and Burger 1997,Fork-tailed Storm-petrel,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Subadult/Adult,1987,1987,1987,1987,1,NA,NA,1,Yes,NA,SA-G,NA
Hydrobates leucorhous,436,Blight and Burger 1997,Leach's Storm-petrel,NA,North Pacific,45.522224,-122.679826,North Pacific Ocean,Adult,1987,1987,1987,1987,1,1,1,1,Yes,NA,SA-G,NA
Hydrobates leucorhous,437,Bond and Lavers 2013,Leach's Storm-petrel,NA,"Gull Is, Newfoundland",33.59232900000001,-102.246616,North Atlantic Ocean,Adult,2012,2012,2012,2012,1,63,30,0.48,Yes,NA,SA-G,NA
Hydrobates leucorhous,444,Furness 1985b,Leach's Storm-petrel,NA,"Dun, St. Kilda",57.79837300000001,-8.566646,North Atlantic Ocean,Adult,1983,1983,1983,1983,1,17,10,0.59,Yes,NA,SA-G,NA
Hydrobates leucorhous,450,Rothstein 1973,Leach's Storm-petrel,NA,"Gull Is, Newfoundland",33.59232900000001,-102.246616,North Atlantic Ocean,Adult,1962,1962,1962,1962,1,7,1,0.142857143,Yes,NA,SA-G,NA
Hydrobates leucorhous,451,Rothstein 1973,Leach's Storm-petrel,NA,Kent Island,51.27870800000001,0.521725,North Atlantic Ocean,Adult,1964,1964,1964,1964,1,8,2,0.285714286,Yes,NA,SA-G,NA
Hydrobates leucorhous,452,Rothstein 1973,Leach's Storm-petrel,NA,Kent Island,51.27870800000001,0.521725,North Atlantic Ocean,Adult,1964,1964,1964,1964,1,7,3,0.428571429,Yes,NA,SA-G,NA
Hydrobates leucorhous,454,Watanuki 1985,Leach's Storm-petrel,NA,"Daikoku, Japan",34.654303,135.493492,North Pacific Ocean,Adult,1982,1982,1982,1982,1,307,20,0.06514658,Yes,NA,SA-G,NA
Hydrobates leucorhous,441,Day et al. 1984/Rothstein 1973,Leach's Storm-petrel,NA,Canada,56.130366,-106.346771,North Pacific Ocean,Mixed,1962,1962,1962,1962,1,7,1,0.14,Yes,NA,SA-G,NA
Hydrobates leucorhous,442,Day et al. 1984/Rothstein 1973,Leach's Storm-petrel,NA,Canada,56.130366,-106.346771,North Pacific Ocean,Mixed,1964,1964,1964,1964,1,8,2,0.25,Yes,NA,SA-G,NA
Hydrobates leucorhous,443,Day et al. 1984/Rothstein 1973,Leach's Storm-petrel,NA,Canada,56.130366,-106.346771,North Pacific Ocean,Mixed,1964,1964,1964,1964,1,7,4,0.57,Yes,NA,SA-G,NA
Hydrobates leucorhous,445,Hedd et al. 2009,Leach's Storm-petrel,NA,Eastern Newfoundland,48.16315600000001,-53.970824,North Atlantic Ocean,Subadult/Adult,1988,1988,1988,1988,1,749,719,0.96,Yes,NA,SA-G,NA
Hydrobates tristrami,965,Sileo et al. 1990a,Tristram's Storm-petrel,NA,Laysan Island,25.767853000000002,-171.732206,North Pacific Ocean,Adult,1987,1987,1987,1987,1,18,6,0.33,Yes,NA,SA-G,NA
Hydrobates tristrami,966,Sileo et al. 1990a,Tristram's Storm-petrel,NA,Laysan Island,25.767853000000002,-171.732206,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,17,6,0.35,Yes,NA,SA-G,NA
Hydrobates furcatus,300,Robards 1993,Fork-tailed Storm-petrel,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,12,12,1,Yes,NA,SA-G,NA
Hydrobates leucorhous,446,Provencher et al. 2014,Leach's Storm-petrel,NA,Eastern Newfoundland,48.16315600000001,-53.970824,North Atlantic Ocean,Mixed,1987-1988,1987,1988,1988,2,749,37,0.05,Yes,NA,SA-G,NA
Hydrobates leucorhous,448,Robards 1993,Leach's Storm-petrel,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,3,2,0.67,Yes,NA,SA-G,NA
Hydrobates tristrami,964,Robards 1993,Tristram's Storm-petrel,NA,North Pacific,33,-130,North Pacific Ocean,Subadult/Adult,1990-1991,1990,1991,1991,2,4,4,1,Yes,NA,SA-G,NA
Hydrobates furcatus,301,Robards et al. 1995,Fork-tailed Storm-petrel,NA,N. Pacific,52.999639,-166.912109,North Pacific Ocean,Subadult/Adult,1988-1990,1988,1990,1989,3,21,18,0.857,Yes,NA,SA-G,NA
Hydrobates leucorhous,449,Robards et al. 1995,Leach's Storm-petrel,NA,Alaska,52.999639,-166.912109,North Pacific Ocean,Adult,1988-1990,1988,1990,1989,3,64,31,0.484,Yes,NA,SA-G,NA
Hydrobates tristrami,963,Harrison et al. 1983,Tristram's Storm-petrel,NA,Laysan & Nihoa,25.767853000000002,-171.732206,North Pacific Ocean,Mixed,1978-1981,1978,1981,1980,4,10,1,0.1,Yes,NA,SA-G,NA
Hydrobates castro,486,Ainley et al. 1990b,Madeiran Storm-petrel,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,7,0,0,No,NA,SA-G,NA
Hydrobates melania,65,Ainley et al. 1990b,Black Storm-petrel,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,2,0,0,No,NA,SA-G,NA
Hydrobates leucorhous,447,Provencher et al. 2014,Leach's Storm-petrel,NA,Eastern Newfoundland,48.16315600000001,-53.970824,North Atlantic Ocean,Mixed,2002-2006,2002,2006,2004,5,224,13,0.06,Yes,NA,SA-G,NA
Hydrobates leucorhous,435,Ainley et al. 1990b,Leach's Storm-petrel,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,151,17,0.112582781,Yes,NA,SA-G,NA
Hydrobates markhami,521,Garcia-Godos et al. 2002,Markham's Storm-petrel,NA,"Paracas Peninsula and La Vieja Island, central Peru",-14.132631,-76.320999,South Pacific Ocean,Adult,1996-2000,1996,2000,1998,5,95,3,0.03,Yes,NA,SA-G,NA
Hydrobates markhami,520,Ainley et al. 1990b,Markham's Storm-petrel,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,12,1,0.083333333,Yes,NA,SA-G,NA
Hydrobates hornbyi,377,Ainley et al. 1990b,Hornby's Storm-petrel,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,1,0,0,No,NA,SA-G,NA
Hydrobates tethys,985,Ainley et al. 1990b,Wedge-rumped Storm-petrel,NA,Eastern equatorial Pacific,-126.5858,-5.934,Southern Ocean,Subadult/Adult,1984-1988,1984,1988,1986,5,176,2,0.011363636,Yes,NA,SA-G,NA
Hydrobates tristrami,967,Youngren et al. 2018,Tristram's Storm-petrel,NA,NA,23.86967,-166.284477,North Pacific Ocean,Nest-bound,2007-2012,2007,2012,2010,6,57,57,1,Yes,NA,SA-G,NA
Hydrobates pelagicus,278,Ryan 1987,European Storm-petrel,NA,South Africa,-30.559482,22.937506,Indian Ocean,Mixed,1979-1985,1979,1985,1982,7,1,0,0,No,NA,SA-G,NA
Hydrobates castro,487,Spear et al. 1995,Madeiran Storm-petrel,NA,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean,Subadult/Adult,1984-1991,1984,1991,1988,8,7,0,0,No,NA,SA-G,NA
Hydrobates leucorhous,453,Spear et al. 1995,Leach's Storm-petrel,NA,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean,Subadult/Adult,1984-1991,1984,1991,1988,8,354,70,0.197740113,Yes,NA,SA-G,NA
Hydrobates tethys,986,Spear et al. 1995,Wedge-rumped Storm-petrel,NA,tropical Pacific,-8.783195,-124.508523,South Pacific Ocean,Subadult/Adult,1984-1991,1984,1991,1988,8,296,1,0.003378378,Yes,NA,SA-G,NA
Hydrobates furcatus,299,Day et al. 1984/Day 1980,Fork-tailed Storm-petrel,NA,Alaska,64.200841,-149.493673,North Pacific Ocean,Mixed,1969-1977,1969,1977,1973,9,8,8,1,Yes,NA,SA-G,NA
Hydrobates leucorhous,438,Day 1980,Leach's Storm-petrel,NA,Alaska,64.200841,-149.493673,North Pacific Ocean,Adult,1969-1977,1969,1977,1973,9,4,1,0.25,Yes,NA,SA-G,NA
Hydrobates leucorhous,440,Day et al. 1984/Day 1980,Leach's Storm-petrel,NA,Alaska,64.200841,-149.493673,North Pacific Ocean,Mixed,1969-1977,1969,1977,1973,9,4,1,0.25,Yes,NA,SA-G,NA
Hydrobates leucorhous,439,Day 1980,Leach's Storm-petrel,NA,Gulf of Alaska,57,-144,North Pacific Ocean,Nest-bound,1969-1977,1969,1977,1973,9,10,1,0.1,Yes,NA,SA-G,NA
Hydrobates pelagicus,279,Zonfrillo 1985,European Storm-petrel,NA,"Firths of Forth and Clyde, Scotland,",-4.114274,55.948345,Indian Ocean,Mixed,NA,NA,NA,#NUM!,NA,NA,NA,NA,Yes,NA,SA-G,NA
Sterna vittata,22,Ainley et al. 1990a,Antarctic Tern,NA,Weddell Sea,-69.951182,-50.273438,Southern Ocean,Subadult/Adult,1976-1988,1986,1986,1986,1,5,0,0,No,NA,SA-G,NA
Sterna paradisaea,26,Ainley et al. 1990a,Arctic Tern,NA,Weddell Sea,-69.951182,-50.273438,Southern Ocean,Subadult/Adult,1976-1988,1986,1986,1986,1,14,0,0,No,NA,SA-G,NA
Anous minutus,64,Sileo et al. 1990a,Black Noddy,NA,Tern Island,23.868823,-166.285503,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,35,1,0.03,Yes,NA,SA-G,NA
Rissa tridactyla,97,Lydersen et al. 1989,Black-legged Kittiwake,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,20,1,0.05,Yes,NA,SA-G,NA
Rissa tridactyla,98,Poon et al. 2017,Black-legged Kittiwake,NA,"Prince Leopold Is, Canadian Arctic",74.04176000000001,-90.032616,Arctic Ocean,Adult,2013,2013,2013,2013,1,11,1,0.09,Yes,NA,SA-G,NA
Anous stolidus,135,Tavares et al. 2017,Brown Noddy,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2011,2011,2011,2011,1,1,0,0,No,NA,SA-G,NA
Anous stolidus,136,Tavares et al. 2017,Brown Noddy,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,2,0,0,No,NA,SA-G,NA
Anous stolidus,1096,Roman et al. 2016,Brown Noddy,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Anous stolidus,133,Sileo et al. 1990a,Brown Noddy,NA,Midway Atoll,28.210076,-177.376111,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,35,0,0,No,NA,SA-G,NA
Anous stolidus,134,Sileo et al. 1990a,Brown Noddy,NA,Tern Island,23.868823,-166.285503,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,15,0,0,No,NA,SA-G,NA
Anous stolidus,137,Tavares et al. 2017,Brown Noddy,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Sterna hirundo,215,Tavares et al. 2017,Common Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2011,2011,2011,2011,1,3,0,0,No,NA,SA-G,NA
Sterna hirundo,218,Tavares et al. 2017,Common Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,8,0,0,No,NA,SA-G,NA
Sterna hirundo,220,Tavares et al. 2017,Common Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,5,1,0.2,Yes,NA,SA-G,NA
Sterna hirundo,217,Tavares et al. 2017,Common Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2011,2011,2011,2011,1,2,0,0,No,NA,SA-G,NA
Sterna hirundo,216,Tavares et al. 2017,Common Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2011,2011,2011,2011,1,3,0,0,No,NA,SA-G,NA
Sterna hirundo,219,Tavares et al. 2017,Common Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2012,2012,2012,2012,1,1,0,0,No,NA,SA-G,NA
Gygis alba,1100,Roman et al. 2016,Common White Tern,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Gygis alba,1026,Sileo et al. 1990a,Common White Tern,NA,Midway Atoll,28.210076,-177.376111,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,35,0,0,No,NA,SA-G,NA
Sternula nereis,1164,Roman et al. 2016,Fairy Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Larus hyperboreus,305,Lydersen et al. 1989,Glaucous Gull,NA,Hornsund,76.881101,15.9084,Arctic Ocean,Adult,1984,1984,1984,1984,1,18,0,0,No,NA,SA-G,NA
Thalasseus bergii,1160,Roman et al. 2016,Great Crested Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Thalasseus bergii,1161,Roman et al. 2016,Great Crested Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Onychoprion lunatus,359,Sileo et al. 1990a,Grey-backed Tern,NA,Midway Atoll,28.210076,-177.376111,North Pacific Ocean,Adult,1987,1987,1987,1987,1,10,0,0,No,NA,SA-G,NA
Onychoprion lunatus,360,Sileo et al. 1990a,Grey-backed Tern,NA,Midway Atoll,28.210076,-177.376111,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,25,0,0,No,NA,SA-G,NA
Larus dominicanus,397,Tavares et al. 2017,Kelp Gull,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,4,0,0,No,NA,SA-G,NA
Larus dominicanus,399,Tavares et al. 2017,Kelp Gull,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,6,0,0,No,NA,SA-G,NA
Larus dominicanus,396,Tavares et al. 2017,Kelp Gull,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2011,2011,2011,2011,1,2,0,0,No,NA,SA-G,NA
Larus dominicanus,398,Tavares et al. 2017,Kelp Gull,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2012,2012,2012,2012,1,5,0,0,No,NA,SA-G,NA
Larus dominicanus,400,Tavares et al. 2017,Kelp Gull,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,2,0,0,No,NA,SA-G,NA
Larus fuscus,457,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Adult,2015,2015,2015,2015,1,8,0,0,No,NA,SA-G,NA
Larus fuscus,460,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Adult,2016,2016,2016,2016,1,21,3,0.1429,Yes,NA,SA-G,NA
Larus fuscus,459,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Mixed,2015,2015,2015,2015,1,3,0,0,No,NA,SA-G,NA
Larus fuscus,462,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Mixed,2016,2016,2016,2016,1,14,5,0.3571,Yes,NA,SA-G,NA
Larus fuscus,456,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Subadult,2014,2014,2014,2014,1,1,0,0,No,NA,SA-G,NA
Larus fuscus,458,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Subadult,2015,2015,2015,2015,1,9,3,0.3333,Yes,NA,SA-G,NA
Larus fuscus,461,Nicastro et al. 2018,Lesser Black-backed Gull,NA,"Olhao, Portugal",37.026042000000004,-7.842351,North Atlantic Ocean,Subadult,2016,2016,2016,2016,1,6,3,0.5,Yes,NA,SA-G,NA
Sternula albifrons,1156,Roman et al. 2016,Little Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2003,2003,2003,2003,1,1,0,0,No,NA,SA-G,NA
Sternula albifrons,1157,Roman et al. 2016,Little Tern,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Sternula albifrons,1158,Roman et al. 2016,Little Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Sternula albifrons,1159,Roman et al. 2016,Little Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,NA,SA-G,NA
Sterna dougallii,680,Tavares et al. 2017,Roseate Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,1,0,0,No,NA,SA-G,NA
Thalasseus maximus,681,Tavares et al. 2017,Royal Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,1,0,0,No,NA,SA-G,NA
Thalasseus maximus,682,Tavares et al. 2017,Royal Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,0,0,No,NA,SA-G,NA
Thalasseus sandvicensis,152,Tavares et al. 2017,Sandwich Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2011,2011,2011,2011,1,1,0,0,No,NA,SA-G,NA
Thalasseus sandvicensis,153,Tavares et al. 2017,Sandwich Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,11,0,0,No,NA,SA-G,NA
Thalasseus sandvicensis,154,Tavares et al. 2017,Sandwich Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2012,2012,2012,2012,1,2,0,0,No,NA,SA-G,NA
Thalasseus sandvicensis,155,Tavares et al. 2017,Sandwich Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2013,2013,2013,2013,1,8,0,0,No,NA,SA-G,NA
Thalasseus sandvicensis,156,Tavares et al. 2017,Sandwich Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,10,0,0,No,NA,SA-G,NA
Larus novaehollandiae,1101,Roman et al. 2016,Silver Gull,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,12,1,0.0833,Yes,NA,SA-G,NA
Onychoprion fuscatus,887,Tavares et al. 2017,Sooty Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,1,0,0,No,NA,SA-G,NA
Onychoprion fuscatus,1162,Roman et al. 2016,Sooty Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,12,0,0,No,NA,SA-G,NA
Onychoprion fuscatus,885,Sileo et al. 1990a,Sooty Tern,NA,Midway Atoll,28.210076,-177.376111,North Pacific Ocean,Nest-bound,1987,1987,1987,1987,1,35,1,0.03,Yes,NA,SA-G,NA
Onychoprion fuscatus,1163,Roman et al. 2016,Sooty Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,15,0,0,No,NA,SA-G,NA
Sterna hirundinacea,888,Tavares et al. 2017,South American Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Adult,2012,2012,2012,2012,1,2,0,0,No,NA,SA-G,NA
Sterna hirundinacea,889,Tavares et al. 2017,South American Tern,NA,South-eastern Brazillian Coast (18çS to 23çS),-23.058727,-43.652171,South Pacific Ocean,Mixed,2012,2012,2012,2012,1,1,0,0,No,NA,SA-G,NA
