Clements2024_Binomial,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Sci.name_Plastic.study,Site,lat,lon,MarineRegion,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Date_MedianYR,Study.Duration,n,n_plastic,FO,Plastic,Sampling_method
Ardenna carneipes,285,Hutton et al. 2008,Flesh-footed Shearwater,Ardenna carneipes,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Nest-bound,2005,2005,2005,2005,1,56,44,0.79,Yes,Necropsy
Ardenna carneipes,286,Hutton et al. 2008,Flesh-footed Shearwater,Ardenna carneipes,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Mixed,2001-2002,2001,2002,2002,2,14,14,1,Yes,Necropsy
Ardenna carneipes,287,Hutton et al. 2008,Flesh-footed Shearwater,Ardenna carneipes,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Mixed,2001-2005,2001,2005,2003,5,124,124,1,Yes,Necropsy
Ardenna carneipes,290,Lavers and Bond 2016a,Flesh-footed Shearwater,NA,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Subadult,2012-2013,2012,2013,2013,2,4,3,0.75,Yes,Necropsy
Ardenna carneipes,291,Lavers et al. 2014,Flesh-footed Shearwater,NA,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Nest-bound,2011,2011,2011,2011,1,38,34,0.9,Yes,Lavage
Pterodroma solandri,638,Bester et al. 2010,Providence Petrel,Pterodroma solandri,Lord Howe Island,-31.555326,159.082121,South Pacific Ocean,Nest-bound,2001,2001,2001,2001,1,61,7,0.112,Yes,Lavage
Pterodroma solandri,639,Bester et al. 2010,Providence Petrel,Pterodroma solandri,Lord Howe Island,-31.555326,159.082121,South Pacific Ocean,Adult,1999-2001,1999,2001,2000,3,48,5,0.112,Yes,Lavage
Ardenna pacifica,983,Hutton et al. 2008,Wedge-tailed Shearwater,NA,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Nest-bound,2005,2005,2005,2005,1,30,13,0.43,Yes,Necropsy
Ardenna pacifica,984,Hutton et al. 2008,Wedge-tailed Shearwater,NA,Lord Howe Is,-31.555326,159.082121,South Pacific Ocean,Mixed,2001-2005,2001,2005,2003,5,22,3,0.14,Yes,Necropsy
Ardenna carneipes,NA,Hutton et al. 2009,Flesh-footed Shearwater,Ardenna carneipes,"Lord Howe Island, Australia",-31.555326,159.082121,South Pacific Ocean,Adult,2001-2007,2001,2007,2004,7,21,0,0,No,Necropsy
Ardenna carneipes,1677,"Lavers et al., 2019b",Flesh-footed Shearwater,Ardenna carneipes,"Lord Howe Island, Australia",-31.5525439,159.0807497,South Pacific Ocean,Subadult,2014-2017,2014,2017,2015,4,53,38,0.71698113,Yes,Lavage
Ardenna carneipes,1673,"Lavers et al., 2019a",Flesh-footed Shearwater,Ardenna carneipes,"Lord Howe Island, Australia",-31.5192809,159.0651065,South Pacific Ocean,Subadult,"2017, 2018",2017,2018,2018,2,57,52,0.915,Yes,Necropsy
Ardenna pacifica,1546,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,14,3,0.214,Yes,Necropsy
Ardenna pacifica,1547,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2014,2014,2014,2014,1,11,4,0.364,Yes,Necropsy
Ardenna pacifica,1548,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2014,2014,2014,2014,1,31,6,0.194,Yes,Regurgitation
Ardenna pacifica,1549,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,10,2,0.2,Yes,Necropsy
Ardenna pacifica,1550,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2015,2015,2015,2015,1,21,6,0.286,Yes,Regurgitation
Ardenna pacifica,1551,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2016,2016,2016,2016,1,26,6,0.231,Yes,Regurgitation
Ardenna pacifica,1552,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2017,2017,2017,2017,1,8,5,0.625,Yes,Necropsy
Ardenna pacifica,1553,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2017,2017,2017,2017,1,17,5,0.294,Yes,Regurgitation
Ardenna pacifica,1554,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2018,2018,2018,2018,1,22,15,0.682,Yes,Necropsy
Ardenna pacifica,1555,Lavers et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Lord Howe Island, Australia",-31.5166667,159.0333333,South Pacific Ocean,Subadult,2018,2018,2018,2018,1,30,12,0.4,Yes,Regurgitation
Leucocarbo atriceps,1638,"Slip et al., 1990",Macquarie Island Cormorant,Leucocarbo atriceps,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Mixed,1989,1988,1989,1989,1,64,5,0.078125,Yes,Regurgitation
Larus dominicanus,1639,"Slip et al., 1990",Kelp Gull,Larus dominicanus,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Mixed,1988,1988,1988,1988,1,5,3,0.6,Yes,Necropsy
Stercorarius antarcticus,1640,"Slip et al., 1990",Subantarctic Skua,Catharacta antarctica,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Mixed,1988,1988,1988,1988,1,3,2,0.666666667,Yes,Necropsy
Macronectes giganteus,1641,"Slip et al., 1990",Southern Giant Petrel,Macronectes giganteus,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Mixed,1977,1977,1977,1977,1,2,0,0,No,Necropsy
Macronectes giganteus,1642,"Slip et al., 1990",Southern Giant Petrel,Macronectes giganteus,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Mixed,1988,1988,1988,1988,1,5,2,0.4,Yes,Necropsy
Phoebetria palpebrata,1643,"Slip et al., 1990",Light-mantled Albatross,Phoebetria palpebrata,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Mixed,1968-1975,1968,1975,1972,8,3,0,0,No,Necropsy
Diomedea exulans,1644,"Slip et al., 1990",Wandering Albatross,Diomedea exulans,"Macquarie Island, Australia",-54.58333,158.9166666,South Pacific Ocean,Nest-bound,1974,1974,1974,1974,1,1,1,1,Yes,Necropsy
Ardenna tenuirostris,761,Ogi 1989,Short-tailed Shearwater,NA,Eastern North Pacific,46.4,158.3,North Pacific Ocean,Adult,1979,1979,1979,1979,1,2,1,0.5,Yes,Necropsy
Fratercula cirrhata,1631,Wehle 1982,Tufted Puffin,Lunda cirrhata,"Ugaiushak Island, Gulf of Alaska",56.78333,156.68333,North Pacific Ocean,Adult,1976,1976,1976,1976,1,28,1,0.036,Yes,Necropsy
Fratercula cirrhata,1632,Wehle 1982,Tufted Puffin,Lunda cirrhata,"Ugaiushak Island, Gulf of Alaska",56.78333,156.68333,North Pacific Ocean,Subadult,1976,1976,1976,1976,1,2,1,0.5,Yes,Necropsy
Fratercula cirrhata,1633,Wehle 1982,Tufted Puffin,Lunda cirrhata,"Ugaiushak Island, Gulf of Alaska",56.78333,156.68333,North Pacific Ocean,Adult,1977,1977,1977,1977,1,6,1,0.167,Yes,Necropsy
Fratercula corniculata,1636,Wehle 1982,Horned Puffin,Fratercula corniculata,"Ugaiushak Island, Gulf of Alaska",56.78333,156.68333,North Pacific Ocean,Adult,1976,1976,1976,1976,1,14,1,0.071,Yes,Necropsy
Fratercula corniculata,1637,Wehle 1982,Horned Puffin,Fratercula corniculata,"Ugaiushak Island, Gulf of Alaska",56.78333,156.68333,North Pacific Ocean,Adult,1977,1977,1977,1977,1,6,1,0.167,Yes,Necropsy
Anous stolidus,1082,Roman et al. 2016,Brown Noddy,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Diomedea exulans,1083,Roman et al. 2016,Wandering Albatross,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Fregata ariel,1084,Roman et al. 2016,Lesser Frigatebird,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Chroicocephalus novaehollandiae,1086,Roman et al. 2016,Silver Gull,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,12,1,0.0833,Yes,Necropsy
Macronectes giganteus,1087,Roman et al. 2016,Southern Giant Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Macronectes giganteus,1088,Roman et al. 2016,Southern Giant Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,3,2,0.6667,Yes,Necropsy
Morus serrator,1091,Roman et al. 2016,Australasian Gannet,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,0,0,No,Necropsy
Morus serrator,1092,Roman et al. 2016,Australasian Gannet,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,10,0,0,No,Necropsy
Pachyptila belcheri,1093,Roman et al. 2016,Thin-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2002,2002,2002,2002,1,1,1,1,Yes,Necropsy
Pachyptila belcheri,1095,Roman et al. 2016,Thin-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1096,Roman et al. 2016,Antarctic Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1097,Roman et al. 2016,Antarctic Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,0,0,No,Necropsy
Pachyptila desolata,1099,Roman et al. 2016,Antarctic Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,2,1,Yes,Necropsy
Pachyptila desolata,1100,Roman et al. 2016,Antarctic Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila salvini,1101,Roman et al. 2016,Medium-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2002,2002,2002,2002,1,2,1,0.5,Yes,Necropsy
Pachyptila salvini,1102,Roman et al. 2016,Medium-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2008,2008,2008,2008,1,1,1,1,Yes,Necropsy
Pachyptila salvini,1103,Roman et al. 2016,Medium-billed Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1104,Roman et al. 2016,Fairy Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1105,Roman et al. 2016,Fairy Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2001,2001,2001,2001,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1106,Roman et al. 2016,Fairy Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2008,2008,2008,2008,1,2,1,0.5,Yes,Necropsy
Pachyptila turtur,1108,Roman et al. 2016,Fairy Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,7,2,0.2857,Yes,Necropsy
Pachyptila turtur,1109,Roman et al. 2016,Fairy Prion,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,57,15,0.2632,Yes,Necropsy
Pelecanus conspicillatus,1112,Roman et al. 2016,Australian Pelican,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,10,2,0.2,Yes,Necropsy
Pelecanus conspicillatus,1113,Roman et al. 2016,Australian Pelican,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,5,2,0.4,Yes,Necropsy
Phaethon rubricauda,1115,Roman et al. 2016,Red-tailed Tropicbird,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,0,0,No,Necropsy
Phoebetria palpebrata,1117,Roman et al. 2016,Light-mantled Albatross,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pelecanoides urinatrix,1118,Roman et al. 2016,Common Diving-petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pseudobulweria rostrata,1119,Roman et al. 2016,Tahiti Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pterodroma cervicalis,1120,Roman et al. 2016,White-necked Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pterodroma leucoptera,1123,Roman et al. 2016,Gould's Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2009,2009,2009,2009,1,2,2,1,Yes,Necropsy
Pterodroma solandri,1126,Roman et al. 2016,Providence Petrel,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Puffinus assimilis,1127,Roman et al. 2016,Little Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2000,2000,2000,2000,1,1,1,1,Yes,Necropsy
Puffinus assimilis,1129,Roman et al. 2016,Little Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Puffinus gavia,1131,Roman et al. 2016,Fluttering Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2001,2001,2001,2001,1,1,1,1,Yes,Necropsy
Puffinus gavia,1133,Roman et al. 2016,Fluttering Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Puffinus gavia,1134,Roman et al. 2016,Fluttering Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,8,3,0.375,Yes,Necropsy
Ardenna pacifica,1136,Roman et al. 2016,Wedge-tailed Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,28,4,0.1429,Yes,Necropsy
Ardenna tenuirostris,1137,Roman et al. 2016,Short-tailed Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2008,2008,2008,2008,1,2,1,0.5,Yes,Necropsy
Ardenna tenuirostris,1139,Roman et al. 2016,Short-tailed Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,13,11,0.8462,Yes,Necropsy
Ardenna tenuirostris,1140,Roman et al. 2016,Short-tailed Shearwater,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,16,16,1,Yes,Necropsy
Sternula albifrons,1141,Roman et al. 2016,Little Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2003,2003,2003,2003,1,1,0,0,No,Necropsy
Sternula albifrons,1143,Roman et al. 2016,Little Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Sternula albifrons,1144,Roman et al. 2016,Little Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Thalasseus bergii,1145,Roman et al. 2016,Great Crested Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Thalasseus bergii,1146,Roman et al. 2016,Great Crested Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Onychoprion fuscatus,1147,Roman et al. 2016,Sooty Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,12,0,0,No,Necropsy
Onychoprion fuscatus,1148,Roman et al. 2016,Sooty Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,15,0,0,No,Necropsy
Sternula nereis,1149,Roman et al. 2016,Fairy Tern,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Sula sula,1150,Roman et al. 2016,Red-footed Booby,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Sula sula,1151,Roman et al. 2016,Red-footed Booby,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Thalassarche bulleri,1152,Roman et al. 2016,Buller's Albatross,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,1,0.5,Yes,Necropsy
Thalassarche cauta,1154,Roman et al. 2016,Shy Albatross,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Thalassarche cauta,1155,Roman et al. 2016,Shy Albatross,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Subadult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Thalassarche cauta,1157,Roman et al. 2016,White-capped Albatross,NA,"Queensland, Australia between Fraser Island and Ballineau",-28.100179,153.463591,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Ardenna tenuirostris,693,Acampora et al. 2014,Short-tailed Shearwater,NA,"Stradbroke Is, QLD",-27.532317,153.462608,South Pacific Ocean,Adult,2010,2010,2010,2010,1,102,64,0.627,Yes,Necropsy
Ardenna tenuirostris,694,Acampora et al. 2014,Short-tailed Shearwater,NA,"Stradbroke Is, QLD",-27.532317,153.462608,South Pacific Ocean,Nest-bound,2012,2012,2012,2012,1,27,23,0.85,Yes,Necropsy
Ardenna pacifica,1537,Verlis et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Muttonbird Island, New South Wales, Australia",-30.3052889,153.1511222,South Pacific Ocean,Nest-bound,2013,2013,2013,2013,1,40,4,0.1,Yes,Regurgitation/Necropsy
Ardenna pacifica,1538,Verlis et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Mudjimba Island, Queensland, Australia",-26.6143389,153.1143917,South Pacific Ocean,Nest-bound,2013,2013,2013,2013,1,10,4,0.4,Yes,Regurgitation/Necropsy
Ardenna grisea,828,Ogi 1989,Sooty Shearwater,NA,Eastern North Pacific,42.8,153.033333,North Pacific Ocean,Adult,1979,1979,1979,1979,1,4,4,1,Yes,Necropsy
Morus serrator,1662,"Gilbert et al., 2016",Australian Gannet,Morus serrator,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Subadult,2011-2012,2011,2012,2012,2,6,0,0,No,Necropsy
Phalacrocorax varius,1663,"Gilbert et al., 2016",Pied Cormorant,Phalacrocorax varius,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Mixed,2011-2012,2011,2012,2012,2,7,1,0.14,Yes,Necropsy
Phaethon sp.,1665,"Gilbert et al., 2016",Tropicbird,Phaethon sp.,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Subadult,2011-2012,2011,2012,2012,2,1,0,0,No,Necropsy
Thalasseus bergii,1666,"Gilbert et al., 2016",Crested Tern,Sterna bergii,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Subadult,2011-2012,2011,2012,2012,2,1,0,0,No,Necropsy
Chroicocephalus novaehollandiae,1667,"Gilbert et al., 2016",Silver Gull,Chroicocephalus novaehollandiae,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Adult,2011-2012,2011,2012,2012,2,2,0,0,No,Necropsy
Diomedea exulans,1668,"Gilbert et al., 2016",Wandering Albatross,Diomedea exulans,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Subadult,2011-2012,2011,2012,2012,2,1,0,0,No,Necropsy
Pachyptila spp.,1669,"Gilbert et al., 2016",Prion,Pachyptila spp.,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Subadult,2011-2012,2011,2012,2012,2,1,1,1,Yes,Necropsy
Ardenna pacifica,1670,"Gilbert et al., 2016",Wedge-tailed Shearwater,Puffinus pacificus,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Adult,2011-2012,2011,2012,2012,2,2,1,0.5,Yes,Necropsy
Ardenna tenuirostris,1671,"Gilbert et al., 2016",Short-tailed Shearwater,Puffinus tenuirostris,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Adult,2011-2012,2011,2012,2012,2,5,4,0.8,Yes,Necropsy
Puffinus huttoni,1672,"Gilbert et al., 2016",Hutton’s Shearwater,Puffinus huttoni,"Ballina, New South Wales, Australia",-29.6166667,153.033,South Pacific Ocean,Adult,2011-2012,2011,2012,2012,2,2,1,0.5,Yes,Necropsy
Ardenna pacifica,1539,Verlis et al. 2018,Wedge-tailed Shearwater,Ardenna pacifica,"Heron Island, Queensland, Australia",-23.7398056,152.5206667,South Pacific Ocean,Nest-bound,2013,2013,2013,2013,1,50,4,0.8,Yes,Regurgitation/Necropsy
Ardenna pacifica,981,Hardesty et al. 2014,Wedge-tailed Shearwater,Ardenna pacifica,"Heron Island, Queensland, Australia",-23.4422976,151.9148004,South Pacific Ocean,Adult,2014,2014,2014,2014,1,8,1,0.125,Yes,Lavage
Ardenna pacifica,995,Verlis et al. 2013,Wedge-tailed Shearwater,Ardenna pacifica,"Heron Island, Queensland, Australia",-23.442298,151.9148,South Pacific Ocean,Adult,2012,2012,2012,2012,1,32,0,0,No,Lavage
Ardenna pacifica,996,Verlis et al. 2013,Wedge-tailed Shearwater,Ardenna pacifica,"Heron Island, Queensland, Australia",-23.442298,151.9148,South Pacific Ocean,Nest-bound,2012,2012,2012,2012,1,24,5,0.208,Yes,Lavage
Gygis alba,1085,Roman et al. 2016,Common White Tern,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Macronectes halli,1089,Roman et al. 2016,Northern Giant Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Morus serrator,1090,Roman et al. 2016,Australasian Gannet,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pachyptila belcheri,1094,Roman et al. 2016,Thin-billed Prion,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila desolata,1098,Roman et al. 2016,Antarctic Prion,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,1,1,Yes,Necropsy
Pachyptila turtur,1107,Roman et al. 2016,Fairy Prion,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Pachyptila vittata,1110,Roman et al. 2016,Broad-billed Prion,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pelecanus conspicillatus,1111,Roman et al. 2016,Australian Pelican,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Phaethon lepturus,1114,Roman et al. 2016,White-tailed Tropicbird,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
Phoebetria palpebrata,1116,Roman et al. 2016,Light-mantled Albatross,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pterodroma cookii,1121,Roman et al. 2016,Cook's Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,1,0,0,No,Necropsy
Pterodroma lessonii,1122,Roman et al. 2016,White-headed Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,1,0.5,Yes,Necropsy
Pterodroma leucoptera,1124,Roman et al. 2016,Gould's Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,3,1,0.3333,Yes,Necropsy
Pterodroma macroptera,1125,Roman et al. 2016,Great-winged Petrel,NA,New South Wales,-32.967658,151.732219,South Pacific Ocean,Adult,2013,2013,2013,2013,1,2,0,0,No,Necropsy
