Clements2024_Order,Clements2024_Family,Clements2024_Common_name,Clements2024_Binomial,Clements2024_Genus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sooty Gull,Ichthyaetus hemprichii,Ichthyaetus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",White-eyed Gull,Ichthyaetus leucophthalmus,Ichthyaetus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Pacific Gull,Larus pacificus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Belcher's Gull,Larus belcheri,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black-tailed Gull,Larus crassirostris,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Olrog's Gull,Larus atlanticus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Heermann's Gull,Larus heermanni,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Common Gull,Larus canus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Short-billed Gull,Larus brachyrhynchus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Ring-billed Gull,Larus delawarensis,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Yellow-footed Gull,Larus livens,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Western Gull,Larus occidentalis,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Caspian Gull,Larus cachinnans,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Kelp Gull,Larus dominicanus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",American Herring Gull,Larus smithsonianus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Vega Gull,Larus vegae,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Mongolian Gull,Larus mongolicus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",European Herring Gull,Larus argentatus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Yellow-legged Gull,Larus michahellis,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Armenian Gull,Larus armenicus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Great Black-backed Gull,Larus marinus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Glaucous Gull,Larus hyperboreus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Lesser Black-backed Gull,Larus fuscus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",California Gull,Larus californicus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Glaucous-winged Gull,Larus glaucescens,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Slaty-backed Gull,Larus schistisagus,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Iceland Gull,Larus glaucoides,Larus
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",African Skimmer,Rynchops flavirostris,Rynchops
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Indian Skimmer,Rynchops albicollis,Rynchops
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black Skimmer,Rynchops niger,Rynchops
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",White Tern,Gygis alba,Gygis
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Brown Noddy,Anous stolidus,Anous
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Lesser Noddy,Anous tenuirostris,Anous
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Black Noddy,Anous minutus,Anous
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray Noddy,Anous albivitta,Anous
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Blue-gray Noddy,Anous ceruleus,Anous
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Aleutian Tern,Onychoprion aleuticus,Onychoprion
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sooty Tern,Onychoprion fuscatus,Onychoprion
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Bridled Tern,Onychoprion anaethetus,Onychoprion
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray-backed Tern,Onychoprion lunatus,Onychoprion
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Little Tern,Sternula albifrons,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Saunders's Tern,Sternula saundersi,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Damara Tern,Sternula balaenarum,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Australian Fairy Tern,Sternula nereis,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Least Tern,Sternula antillarum,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Yellow-billed Tern,Sternula superciliaris,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Peruvian Tern,Sternula lorata,Sternula
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Large-billed Tern,Phaetusa simplex,Phaetusa
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gull-billed Tern,Gelochelidon nilotica,Gelochelidon
