Clements2024_Binomial,Order,Family,Genus,Common.Name,Feeding.method,Diet,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion,Anthropogenic.Subsidy,Pelagic.Specialist,Body.Mass.g,AS.Fishery,AS.Refuse,AS.Agriculture
Saundersilarus saundersi,Charadriiformes,Laridae,Saundersilarus,Saunders's Gull,Surface.Seizing,Crustaceans,Yes,No,Yes,Yes,No,No,No,198,No,No,No
Somateria fischeri,Anseriformes,Anatidae,Somateria,Spectacled Eider,Bottom.Feeding,Other.Inverts,Yes,No,Yes,Yes,No,No,No,1558.5,No,No,No
Somateria mollissima,Anseriformes,Anatidae,Somateria,Common Eider,Bottom.Feeding,Other.Inverts,Yes,No,Yes,Yes,No,No,No,2066.5,No,No,No
Somateria spectabilis,Anseriformes,Anatidae,Somateria,King Eider,Bottom.Feeding,Other.Inverts,No,No,Yes,Yes,Yes,No,No,1617.5,No,No,No
Spheniscus demersus,Sphenisciformes,Spheniscidae,Spheniscus,African Penguin,Diving,Fish,Yes,Yes,No,No,No,No,Yes,3135,No,No,No
Spheniscus humboldti,Sphenisciformes,Spheniscidae,Spheniscus,Humboldt Penguin,Diving,Fish,Yes,Yes,Yes,Yes,Yes,No,Yes,4379,No,No,No
Spheniscus magellanicus,Sphenisciformes,Spheniscidae,Spheniscus,Magellanic Penguin,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,4120,No,No,No
Spheniscus mendiculus,Sphenisciformes,Spheniscidae,Spheniscus,Galapagos Penguin,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,1932.5,No,No,No
Phalaropus tricolor,Charadriiformes,Scolopacidae,Phalaropus,Wilson's Phalarope,Surface.Seizing,Other.Inverts,No,No,Yes,Yes,No,No,No,NA,No,No,No
Stercorarius longicaudus,Charadriiformes,Stercorariidae,Stercorarius,Long-tailed Jaeger,Surface.Seizing,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,Yes,Yes,No,288.5,Yes,No,No
Stercorarius parasiticus,Charadriiformes,Stercorariidae,Stercorarius,Parasitic Jaeger,Aerial.Pursuit,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,Yes,No,No,445.5,No,No,No
Stercorarius pomarinus,Charadriiformes,Stercorariidae,Stercorarius,Pomarine Jaeger,Aerial.Pursuit,Fish,Yes,No,No,No,Yes,No,Yes,694,No,No,No
Sterna acuticauda,Charadriiformes,Laridae,Sterna,Black-bellied Tern,Plunging,Other.Inverts,Yes,No,No,Yes,No,No,No,NA,No,No,No
Sterna aurantia,Charadriiformes,Laridae,Sterna,River Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Sterna dougallii,Charadriiformes,Laridae,Sterna,Roseate Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,Yes,108.75,No,No,No
Sterna forsteri,Charadriiformes,Laridae,Sterna,Forster's Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,No,149,No,No,No
Sterna hirundinacea,Charadriiformes,Laridae,Sterna,South American Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,Yes,180,No,No,No
Sterna hirundo,Charadriiformes,Laridae,Sterna,Common Tern,Plunging,Fish,Yes,No,No,Yes,No,Yes,No,120,Yes,No,No
Sterna paradisaea,Charadriiformes,Laridae,Sterna,Arctic Tern,Plunging,Fish,Yes,No,Yes,Yes,No,Yes,No,110,Yes,No,No
Sterna repressa,Charadriiformes,Laridae,Sterna,White-cheeked Tern,Surface.Seizing,Fish,Yes,No,Yes,Yes,No,No,Yes,90,No,No,No
Sterna striata,Charadriiformes,Laridae,Sterna,White-fronted Tern,Plunging,Fish,Yes,No,Yes,No,No,No,Yes,129,No,No,No
Sterna sumatrana,Charadriiformes,Laridae,Sterna,Black-naped Tern,Plunging,Fish,Yes,No,No,No,No,No,Yes,106,No,No,No
Sterna trudeaui,Charadriiformes,Laridae,Sterna,Snowy-crowned Tern,Plunging,Fish,Yes,No,No,Yes,No,No,No,153,No,No,No
Sterna virgata,Charadriiformes,Laridae,Sterna,Kerguelen Tern,Surface.Seizing,Fish,Yes,No,Yes,Yes,No,No,Yes,126,No,No,No
Sterna vittata,Charadriiformes,Laridae,Sterna,Antarctic Tern,Plunging,Fish,Yes,No,Yes,Yes,No,Yes,Yes,139,Yes,No,No
Sternula albifrons,Charadriiformes,Laridae,Sternula,Little Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,No,48.5,No,No,No
Sternula antillarum,Charadriiformes,Laridae,Sternula,Least Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,No,45.925,No,No,No
Sternula balaenarum,Charadriiformes,Laridae,Sternula,Damara Tern,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,60,No,No,No
Sternula lorata,Charadriiformes,Laridae,Sternula,Peruvian Tern,Plunging,Fish,Yes,No,Yes,No,No,No,Yes,53.8,No,No,No
Sternula nereis,Charadriiformes,Laridae,Sternula,Australian Fairy Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,Yes,38.2,No,No,No
Sternula saundersi,Charadriiformes,Laridae,Sternula,Saunders's Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,No,42.3,No,No,No
Sternula superciliaris,Charadriiformes,Laridae,Sternula,Yellow-billed Tern,Plunging,Fish,Yes,No,Yes,Yes,No,No,No,46.4,No,No,No
Sula dactylatra,Suliformes,Sulidae,Sula,Masked Booby,Plunging,Fish,Yes,No,No,No,No,No,Yes,1713,No,No,No
Sula granti,Suliformes,Sulidae,Sula,Nazca Booby,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,1754,No,No,No
Sula leucogaster,Suliformes,Sulidae,Sula,Brown Booby,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,1219,No,No,No
Sula nebouxii,Suliformes,Sulidae,Sula,Blue-footed Booby,Plunging,Fish,Yes,No,No,No,No,No,Yes,1542,No,No,No
Sula sula,Suliformes,Sulidae,Sula,Red-footed Booby,Plunging,Fish,Yes,Yes,No,No,No,No,Yes,857,No,No,No
Sula variegata,Suliformes,Sulidae,Sula,Peruvian Booby,Plunging,Fish,Yes,No,No,No,No,No,Yes,1435,No,No,No
Synthliboramphus antiquus,Charadriiformes,Alcidae,Synthliboramphus,Ancient Murrelet,Diving,Crustaceans,Yes,No,Yes,No,No,No,Yes,207,No,No,No
Synthliboramphus craveri,Charadriiformes,Alcidae,Synthliboramphus,Craveri's Murrelet,Diving,Fish,Yes,Yes,Yes,No,No,No,Yes,151,No,No,No
Synthliboramphus hypoleucus,Charadriiformes,Alcidae,Synthliboramphus,Guadalupe Murrelet,Diving,Fish,Yes,No,No,No,No,No,Yes,167,No,No,No
Synthliboramphus scrippsi,Charadriiformes,Alcidae,Synthliboramphus,Scripps's Murrelet,Diving,Fish,Yes,No,Yes,No,No,No,Yes,375,No,No,No
Synthliboramphus wumizusume,Charadriiformes,Alcidae,Synthliboramphus,Japanese Murrelet,Diving,Crustaceans,Yes,No,Yes,No,No,No,Yes,198,No,No,No
Thalassarche bulleri,Procellariiformes,Diomedeidae,Thalassarche,Buller's Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,No,Yes,2713.75,No,No,No
Thalassarche carteri,Procellariiformes,Diomedeidae,Thalassarche,Indian Yellow-nosed Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,2710,Yes,No,No
Thalassarche cauta,Procellariiformes,Diomedeidae,Thalassarche,White-capped Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,Yes,Yes,3911.25,Yes,No,No
Thalassarche chlororhynchos,Procellariiformes,Diomedeidae,Thalassarche,Atlantic Yellow-nosed Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,2130,Yes,No,No
Thalassarche chrysostoma,Procellariiformes,Diomedeidae,Thalassarche,Gray-headed Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,No,No,Yes,Yes,3507.5,Yes,No,No
Thalassarche eremita,Procellariiformes,Diomedeidae,Thalassarche,Chatham Albatross,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,Yes,Yes,3825,Yes,No,No
Thalassarche melanophris,Procellariiformes,Diomedeidae,Thalassarche,Black-browed Albatross,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3232,Yes,No,No
Thalassarche salvini,Procellariiformes,Diomedeidae,Thalassarche,Salvin's Albatross,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,3795,No,No,No
Thalasseus bengalensis,Charadriiformes,Laridae,Thalasseus,Lesser Crested Tern,Plunging,Fish,Yes,No,Yes,No,No,No,Yes,209,No,No,No
Thalasseus bergii,Charadriiformes,Laridae,Thalasseus,Great Crested Tern,Plunging,Fish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,328,Yes,No,No
Thalasseus bernsteini,Charadriiformes,Laridae,Thalasseus,Chinese Crested Tern,Plunging,Fish,Yes,No,No,No,No,No,No,284,No,No,No
Thalasseus elegans,Charadriiformes,Laridae,Thalasseus,Elegant Tern,Plunging,Fish,Yes,No,Yes,No,No,No,Yes,260,No,No,No
Thalasseus maximus,Charadriiformes,Laridae,Thalasseus,Royal Tern,Plunging,Fish,Yes,Yes,Yes,No,No,Yes,Yes,409.25,Yes,No,No
Thalasseus sandvicensis,Charadriiformes,Laridae,Thalasseus,Sandwich Tern,Plunging,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,250.5,Yes,No,No
Thalassoica antarctica,Procellariiformes,Procellariidae,Thalassoica,Antarctic Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,No,Yes,Yes,708.5,Yes,No,No
Uria aalge,Charadriiformes,Alcidae,Uria,Common Murre,Diving,Fish,Yes,No,Yes,No,No,No,Yes,992.5,No,No,No
Uria lomvia,Charadriiformes,Alcidae,Uria,Thick-billed Murre,Diving,Fish,Yes,Yes,Yes,Yes,No,No,Yes,964,No,No,No
Urile pelagicus,Suliformes,Phalacrocoracidae,Urile,Pelagic Cormorant,Diving,Fish,Yes,No,Yes,No,No,No,Yes,1856.5,No,No,No
Urile penicillatus,Suliformes,Phalacrocoracidae,Urile,Brandt's Cormorant,Diving,Fish,Yes,Yes,No,No,No,No,Yes,2247.5,No,No,No
Urile urile,Suliformes,Phalacrocoracidae,Urile,Red-faced Cormorant,Diving,Fish,Yes,No,Yes,No,No,No,Yes,2137.5,No,No,No
Xema sabini,Charadriiformes,Laridae,Xema,Sabine's Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,198,Yes,No,No
Larus brachyrhynchus,Charadriiformes,Laridae,Larus,Short-billed Gull,Surface.Seizing,Invertebrates,Yes,No,Yes,Yes,Yes,Yes,No,409,No,Yes,No
Larus mongolicus,Charadriiformes,Laridae,Larus,Mongolian Gull,NA,NA,Yes,No,Yes,Yes,Yes,No,No,1580,No,No,No
Larus vegae,Charadriiformes,Laridae,Larus,Vega Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,No,1158,Yes,Yes,No
Thalasseus albididorsalis,Charadriiformes,Laridae,Thalasseus,West African Crested Tern,Plunging,Fish,Yes,No,Yes,No,No,No,No,367,No,No,No
Pterodroma occulta,Procellariiformes,Procellariidae,Pterodroma,Vanuatu Petrel,Surface.Seizing,Cephalopods,Yes,Yes,No,No,No,No,Yes,350,No,No,No
Puffinus baroli,Procellariiformes,Procellariidae,Puffinus,Barolo Shearwater,Plunging,Unknown,Yes,Yes,Yes,No,No,No,Yes,211,No,No,No
Puffinus boydi,Procellariiformes,Procellariidae,Puffinus,Boyd's Shearwater,Plunging,Unknown,Yes,Yes,Yes,No,No,No,Yes,NA,No,No,No
Sula brewsteri,Suliformes,Sulidae,Sula,Cocos Booby,Plunging,Fish,Yes,No,No,No,No,No,Yes,1450,No,No,No
Leucocarbo georgianus,Suliformes,Phalacrocoracidae,Leucocarbo,South Georgia Shag,Diving,Fish,Yes,No,No,Yes,No,No,No,2883,No,No,No
Leucocarbo bransfieldensis,Suliformes,Phalacrocoracidae,Leucocarbo,Antarctic Shag,Diving,Fish,Yes,Yes,Yes,Yes,No,No,No,3022,No,No,No
Leucocarbo melanogenis,Suliformes,Phalacrocoracidae,Leucocarbo,Crozet Shag,Diving,Fish,Yes,Yes,Yes,Yes,No,No,No,2700,No,No,No
Leucocarbo nivalis,Suliformes,Phalacrocoracidae,Leucocarbo,Heard Island Shag,Diving,Invertebrates,Yes,Yes,No,Yes,No,No,No,3300,No,No,No
Leucocarbo purpurascens,Suliformes,Phalacrocoracidae,Leucocarbo,Macquarie Shag,Diving,Fish,Yes,No,Yes,Yes,No,No,No,3500,No,No,No
