Clements2024_Binomial,Order,Family,Genus,Common.Name,Feeding.method,Diet,Fish,Cephalopods,Crustaceans,Other.Inverts,Carrion,Anthropogenic.Subsidy,Pelagic.Specialist,Body.Mass.g,AS.Fishery,AS.Refuse,AS.Agriculture
Fregata aquila,Suliformes,Fregatidae,Fregata,Ascension Frigatebird,Surface.Seizing,Fish,Yes,No,No,No,Yes,No,Yes,1620,No,No,No
Fregata ariel,Suliformes,Fregatidae,Fregata,Lesser Frigatebird,Surface.Seizing,Fish,Yes,Yes,No,No,Yes,No,Yes,806,No,No,No
Fregata magnificens,Suliformes,Fregatidae,Fregata,Magnificent Frigatebird,Aerial.Pursuit,Fish,Yes,Yes,No,Yes,Yes,Yes,Yes,1499.25,Yes,No,No
Fregata minor,Suliformes,Fregatidae,Fregata,Great Frigatebird,Surface.Seizing,Fish,Yes,Yes,No,No,Yes,No,Yes,1263,No,No,No
Fregetta grallaria,Procellariiformes,Oceanitidae,Fregetta,White-bellied Storm-Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,52,No,No,No
Fregetta lineata,Procellariiformes,Oceanitidae,Fregetta,New Caledonian Storm-Petrel,Surface.Seizing,Fish,Yes,No,No,No,No,No,Yes,NA,No,No,No
Fregetta maoriana,Procellariiformes,Oceanitidae,Fregetta,New Zealand Storm-Petrel,Surface.Seizing,Crustaceans,No,No,Yes,No,No,No,Yes,35,No,No,No
Fregetta tropica,Procellariiformes,Oceanitidae,Fregetta,Black-bellied Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,No,Yes,52,No,No,No
Fulmarus glacialis,Procellariiformes,Procellariidae,Fulmarus,Northern Fulmar,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,613,Yes,No,No
Fulmarus glacialoides,Procellariiformes,Procellariidae,Fulmarus,Southern Fulmar,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,795,Yes,No,No
Garrodia nereis,Procellariiformes,Oceanitidae,Garrodia,Gray-backed Storm-Petrel,Surface.Seizing,Crustaceans,No,Yes,Yes,Yes,No,Yes,Yes,38.2,Yes,No,No
Gavia adamsii,Gaviiformes,Gaviidae,Gavia,Yellow-billed Loon,Diving,Fish,Yes,No,Yes,Yes,No,No,No,5056.25,No,No,No
Gavia arctica,Gaviiformes,Gaviidae,Gavia,Arctic Loon,Diving,Fish,Yes,No,Yes,Yes,No,No,No,3079.5,No,No,No
Gavia immer,Gaviiformes,Gaviidae,Gavia,Common Loon,Diving,Fish,Yes,No,Yes,Yes,Yes,No,No,4980,No,No,No
Gavia pacifica,Gaviiformes,Gaviidae,Gavia,Pacific Loon,Diving,Fish,Yes,No,Yes,Yes,Yes,No,No,1668.5,No,No,No
Gavia stellata,Gaviiformes,Gaviidae,Gavia,Red-throated Loon,Diving,Fish,Yes,No,Yes,Yes,Yes,No,No,1486,No,No,No
Gelochelidon macrotarsa,Charadriiformes,Laridae,Gelochelidon,Australian Tern,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,No,No,No,NA,No,No,No
Gelochelidon nilotica,Charadriiformes,Laridae,Gelochelidon,Gull-billed Tern,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,Yes,No,No,180,No,No,No
Gulosus aristotelis,Suliformes,Phalacrocoracidae,Gulosus,European Shag,Diving,Fish,Yes,No,No,No,No,No,Yes,1773,No,No,No
Gygis alba,Charadriiformes,Laridae,Gygis,White Tern,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,111,No,No,No
Halobaena caerulea,Procellariiformes,Procellariidae,Halobaena,Blue Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,No,No,Yes,202,No,No,No
Histrionicus histrionicus,Anseriformes,Anatidae,Histrionicus,Harlequin Duck,Diving,Other.Inverts,No,No,Yes,Yes,No,No,No,563.5,No,No,No
Hydrobates castro,Procellariiformes,Hydrobatidae,Hydrobates,Band-rumped Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,No,No,Yes,Yes,45.3,No,Yes,No
Hydrobates cheimomnestes,Procellariiformes,Hydrobatidae,Hydrobates,Ainley's Storm-Petrel,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes,36.925,NA,NA,NA
Hydrobates furcatus,Procellariiformes,Hydrobatidae,Hydrobates,Fork-tailed Storm-Petrel,Surface.Seizing,Fish,Yes,No,Yes,No,Yes,Yes,Yes,54.4,Yes,No,No
Hydrobates homochroa,Procellariiformes,Hydrobatidae,Hydrobates,Ashy Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,No,No,No,Yes,36.9,No,No,No
Hydrobates hornbyi,Procellariiformes,Hydrobatidae,Hydrobates,Ringed Storm-Petrel,Surface.Seizing,Fish,Yes,NA,NA,NA,NA,No,Yes,40.6,No,No,No
Hydrobates jabejabe,Procellariiformes,Hydrobatidae,Hydrobates,Cape Verde Storm-Petrel,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes,46.65,NA,NA,NA
Hydrobates leucorhous,Procellariiformes,Hydrobatidae,Hydrobates,Leach's Storm-Petrel,Surface.Seizing,Cephalopods,Yes,Yes,Yes,Yes,No,Yes,Yes,34.8,Yes,No,No
Hydrobates markhami,Procellariiformes,Hydrobatidae,Hydrobates,Markham's Storm-Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,53.1,No,No,No
Hydrobates matsudairae,Procellariiformes,Hydrobatidae,Hydrobates,Matsudaira's Storm-Petrel,Surface.Seizing,NA,NA,NA,NA,NA,NA,Yes,Yes,62,No,Yes,No
Hydrobates melania,Procellariiformes,Hydrobatidae,Hydrobates,Black Storm-Petrel,Surface.Seizing,Crustaceans,Yes,Yes,Yes,No,No,Yes,Yes,61.5,Yes,No,No
Hydrobates microsoma,Procellariiformes,Hydrobatidae,Hydrobates,Least Storm-Petrel,Surface.Seizing,Crustaceans,No,No,Yes,No,No,No,Yes,20.5,No,No,No
Hydrobates monorhis,Procellariiformes,Hydrobatidae,Hydrobates,Swinhoe's Storm-Petrel,Surface.Seizing,NA,NA,NA,NA,NA,NA,NA,Yes,39.8,NA,NA,NA
Hydrobates monteiroi,Procellariiformes,Hydrobatidae,Hydrobates,Monteiro's Storm-Petrel,Surface.Seizing,Fish,Yes,Yes,No,No,No,No,Yes,45.3,No,No,No
Hydrobates pelagicus,Procellariiformes,Hydrobatidae,Hydrobates,European Storm-Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,Yes,Yes,25.2,Yes,No,No
Hydrobates socorroensis,Procellariiformes,Hydrobatidae,Hydrobates,Townsend's Storm-Petrel,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes,31.7,NA,NA,NA
Hydrobates tethys,Procellariiformes,Hydrobatidae,Hydrobates,Wedge-rumped Storm-Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,22.6,No,No,No
Hydrobates tristrami,Procellariiformes,Hydrobatidae,Hydrobates,Tristram's Storm-Petrel,Surface.Seizing,Fish,Yes,Yes,Yes,Yes,No,No,Yes,92,No,No,No
Hydrocoloeus minutus,Charadriiformes,Laridae,Hydrocoloeus,Little Gull,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,No,No,No,118,No,No,No
Hydroprogne caspia,Charadriiformes,Laridae,Hydroprogne,Caspian Tern,Plunging,Fish,Yes,No,No,No,Yes,No,No,655,No,No,No
Larosterna inca,Charadriiformes,Laridae,Larosterna,Inca Tern,Plunging,Fish,Yes,No,Yes,No,No,Yes,Yes,219,Yes,No,No
Larus argentatus,Charadriiformes,Laridae,Larus,European Herring Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,No,1110,Yes,Yes,No
Larus armenicus,Charadriiformes,Laridae,Larus,Armenian Gull,Surface.Seizing,Fish,Yes,No,No,Yes,Yes,Yes,No,867,No,No,Yes
Larus atlanticus,Charadriiformes,Laridae,Larus,Olrog's Gull,Surface.Seizing,Crustaceans,Yes,No,Yes,Yes,No,Yes,Yes,846.5,Yes,No,No
Leucophaeus atricilla,Charadriiformes,Laridae,Leucophaeus,Laughing Gull,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,Yes,Yes,Yes,308,Yes,Yes,No
Ichthyaetus audouinii,Charadriiformes,Laridae,Ichthyaetus,Audouin's Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,675,Yes,Yes,No
Larus belcheri,Charadriiformes,Laridae,Larus,Belcher's Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,No,Yes,643,No,No,No
Chroicocephalus brunnicephalus,Charadriiformes,Laridae,Chroicocephalus,Brown-headed Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,No,572.5,Yes,No,No
Chroicocephalus bulleri,Charadriiformes,Laridae,Chroicocephalus,Black-billed Gull,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,No,Yes,No,230.5,No,No,Yes
Larus cachinnans,Charadriiformes,Laridae,Larus,Caspian Gull,Surface.Seizing,Fish,Yes,No,No,Yes,Yes,Yes,No,1090,Yes,No,No
Larus californicus,Charadriiformes,Laridae,Larus,California Gull,Surface.Seizing,Other.Inverts,Yes,No,Yes,Yes,Yes,Yes,No,606.5,Yes,Yes,No
Larus canus,Charadriiformes,Laridae,Larus,Common Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,403.5,Yes,Yes,No
Chroicocephalus cirrocephalus,Charadriiformes,Laridae,Chroicocephalus,Gray-hooded Gull,Plunging,Fish,Yes,No,No,Yes,Yes,Yes,No,460,Yes,Yes,No
Larus crassirostris,Charadriiformes,Laridae,Larus,Black-tailed Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,No,Yes,Yes,504.5,Yes,Yes,No
Larus delawarensis,Charadriiformes,Laridae,Larus,Ring-billed Gull,Plunging,Fish,Yes,No,Yes,Yes,Yes,Yes,No,518.5,Yes,Yes,Yes
Larus dominicanus,Charadriiformes,Laridae,Larus,Kelp Gull,Scavenging,Other.Inverts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,957,Yes,Yes,No
Leucophaeus fuliginosus,Charadriiformes,Laridae,Leucophaeus,Lava Gull,Scavenging,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,Yes,Yes,Yes,380,Yes,No,No
Larus fuscus,Charadriiformes,Laridae,Larus,Lesser Black-backed Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,No,715,Yes,Yes,No
Chroicocephalus genei,Charadriiformes,Laridae,Chroicocephalus,Slender-billed Gull,Surface.Seizing,Crustaceans,Yes,Yes,Yes,Yes,No,No,No,281,No,No,No
Larus glaucescens,Charadriiformes,Laridae,Larus,Glaucous-winged Gull,Plunging,Fish,Yes,No,No,Yes,Yes,Yes,Yes,1063,Yes,Yes,No
Larus glaucoides,Charadriiformes,Laridae,Larus,Iceland Gull,Surface.Seizing,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,863,Yes,Yes,No
Chroicocephalus hartlaubii,Charadriiformes,Laridae,Chroicocephalus,Hartlaub's Gull,Plunging,Other.Inverts,Yes,No,Yes,Yes,Yes,Yes,Yes,292,Yes,No,No
Larus heermanni,Charadriiformes,Laridae,Larus,Heermann's Gull,Plunging,Fish,Yes,No,No,Yes,Yes,No,Yes,500,No,No,No
Ichthyaetus hemprichii,Charadriiformes,Laridae,Ichthyaetus,Sooty Gull,Scavenging,Fish,Yes,No,No,No,Yes,Yes,Yes,455,Yes,No,No
Larus hyperboreus,Charadriiformes,Laridae,Larus,Glaucous Gull,Scavenging,Fish,Yes,No,Yes,Yes,Yes,Yes,Yes,1412.5,Yes,Yes,No
Ichthyaetus ichthyaetus,Charadriiformes,Laridae,Ichthyaetus,Pallas's Gull,Scavenging,Fish,Yes,No,Yes,Yes,Yes,Yes,No,1394,Yes,No,No
Ichthyaetus leucophthalmus,Charadriiformes,Laridae,Ichthyaetus,White-eyed Gull,Plunging,Fish,Yes,No,Yes,Yes,No,Yes,Yes,330,Yes,Yes,No
Larus livens,Charadriiformes,Laridae,Larus,Yellow-footed Gull,Scavenging,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,Yes,Yes,Yes,1322,Yes,No,No
Chroicocephalus maculipennis,Charadriiformes,Laridae,Chroicocephalus,Brown-hooded Gull,Surface.Seizing,Other.Inverts,Yes,No,No,Yes,Yes,Yes,No,339,Yes,Yes,No
