,Reference,DOI,CodeCitation,Year,Ecosystem,Habitat,Country,Biological.group,Mean_size,UIS,ML,Size_variance,Variance_type,Min_length,Max_length,Starting_month,Starting_year,Final_month,Final_year,Sampling_frequency,Sampling_method,Organ_content,N.sampling.unit,N.organisms,TotalMiP,TotalMeP,TotalMaP,TotalPD,FO_PD,NF_PD,FW_PD,Dead,Fragments,Fibers_thread,Pellets,Beads_granule,Foam,Film_sheet,Paintchips,Other_types,Type_unit,Average.Size_PD,Min.Size_PD,Max.size_PD,Size.variance_PD,Variance_type.1,Size_unit,Area_PD,Area_unit,Mass_PD,Volume_PD,Blue,White,Transparent,Gray,Black,Yellow,Brown,PinkPurple,Orange,Red,Green,Colored,Other_colors,Color_unit,Polymer1,Polymer1.items,Polymer2,Polymer2.items,Polymer3,Polymer3.items,Polymer4,Polymer4.items,Polymer5,Polymer5.items,Polymer6,Polymer6.items,Polymer7,Polymer7.items,Polymer8,Polymer8.items,Polymer9,Polymer9.items,Polymer10,Polymer10.items,Polymer11,Polymer11.items,Polymer12,Polymer12.items,Other_Polymers,Other_PolymersItems,Polymer_unit,QAQC_protocol,Extraction_method,Polymeric_analysis,Obs,species,kingdom,subkingdom,infrakingdom,class,order,family,genus,phylum,Lat,Lon,common.name,TotalP
4581,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma gouldi,Metazoa,,,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,,0
4582,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma gouldi,Metazoa,,,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,,0
4583,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma gouldi,Metazoa,,,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,,0
4584,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma gouldi,Metazoa,,,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,,0
4585,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma gouldi,Metazoa,,,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,,0
4586,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,3,3,NA,NA,NA,1,33.33333333,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma inexpectata,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,,1
4587,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,3,3,NA,NA,NA,1,33.33333333,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma inexpectata,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,,1
4588,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,3,3,NA,NA,NA,1,33.33333333,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma inexpectata,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,,1
4589,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,3,3,NA,NA,NA,1,33.33333333,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma inexpectata,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,,1
4590,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,3,3,NA,NA,NA,1,33.33333333,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma inexpectata,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,,1
4591,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,6,6,NA,NA,NA,1,16.66666667,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma lessonii,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,white-headed petrel,1
4592,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,6,6,NA,NA,NA,1,16.66666667,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma lessonii,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,white-headed petrel,1
4593,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,6,6,NA,NA,NA,1,16.66666667,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma lessonii,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,white-headed petrel,1
4594,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,6,6,NA,NA,NA,1,16.66666667,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma lessonii,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,white-headed petrel,1
4595,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,6,6,NA,NA,NA,1,16.66666667,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma lessonii,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,white-headed petrel,1
4596,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,5,5,NA,NA,NA,5,60,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma leucoptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,Gould's petrel,5
4597,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,5,5,NA,NA,NA,5,60,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma leucoptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,Gould's petrel,5
4598,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,5,5,NA,NA,NA,5,60,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma leucoptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,Gould's petrel,5
4599,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,5,5,NA,NA,NA,5,60,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma leucoptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,Gould's petrel,5
4600,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,5,5,NA,NA,NA,5,60,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma leucoptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,Gould's petrel,5
4601,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma macroptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,great-winged petrel,0
4602,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma macroptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,great-winged petrel,0
4603,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma macroptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,great-winged petrel,0
4604,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma macroptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,great-winged petrel,0
4605,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma macroptera,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,great-winged petrel,0
4606,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma nigripennis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,,0
4607,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma nigripennis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,,0
4608,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma nigripennis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,,0
4609,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma nigripennis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,,0
4610,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma nigripennis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,,0
4611,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma solandri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-25.14301283,153.0661208,,0
4612,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma solandri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-28.14158926,162.0556799,,0
4613,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma solandri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-37.43545186,176.6924157,,0
4614,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma solandri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-46.46035144,168.050981,,0
4615,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Pterodroma solandri,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Pterodroma,Chordata,-54.58059995,158.8167188,,0
4616,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,8,8,NA,NA,NA,8,50,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Puffinus assimilis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Puffinus,Chordata,-25.14301283,153.0661208,,8
4617,"Roman et al., 2019",10.1038/s41598-018-36585-9,MPB00526,2019,Island/Offshore Seas,Island/Offshore Waters,Australia,Birds,NA,,,NA,,NA,NA,,NA,,NA,,Necropsy,GIT,8,8,NA,NA,NA,8,50,NA,NA,Yes,0,0,0,0,0,0,0,0,,NA,,,NA,,,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,,No,Visual selection,,Geographic coordinate estimated,Puffinus assimilis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Puffinus,Chordata,-28.14158926,162.0556799,,8
