clements2024_binomial,tips,order,freeflying,source,date_median,marine_region,sampling_method,body_mass_g,body_mass_2sd,main_diet,carrion,fish,cephalopods,crustaceans,other_inverts,as_fishery,as_agriculture,as_refuse,anthropogenic_subsidy,pelagic_specialist,feeding_method,aerial_pursuit,bottom_feeding,diving,plunging,scavenging,skimming,surface_seizing,terrestrial_feeding,n_plastic,n_total,FO
Larus marinus,Larus_marinus,Charadriiformes,1,"Caldwell et al., 2020",2018,North Atlantic Ocean,Necropsy,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,1,8,0.125
Larus marinus,Larus_marinus,Charadriiformes,1,"Jardine et al., 2021",2014.5,North Atlantic Ocean,Necropsy,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,24,44,0.5454545454545450
Larus marinus,Larus_marinus,Charadriiformes,1,"Schutten et al., 2024",2020.5,North Atlantic Ocean,Necropsy,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,34,39,0.8717948717948720
Larus marinus,Larus_marinus,Charadriiformes,1,Seif et al. 2018,2014.5,North Atlantic Ocean,Necropsy,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,5,8,0.625
Larus marinus,Larus_marinus,Charadriiformes,NA,"Caldwell et al., 2020",2018,North Atlantic Ocean,Bolus,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,9,39,0.23076923076923100
Larus marinus,Larus_marinus,Charadriiformes,NA,"Caldwell et al., 2020",2018,North Atlantic Ocean,Regurgitation,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,1,8,0.125
Larus marinus,Larus_marinus,Charadriiformes,NA,Seif et al. 2018,2014.5,North Atlantic Ocean,Necropsy,1658.5,0.08950798438603820,Carrion.NonFishVertebrates,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Aerial.Pursuit,No,No,No,Yes,Yes,No,Yes,Yes,5,8,0.625
Larus michahellis,Larus_michahellis,Charadriiformes,1,Codina-Garcia et al. 2013,2006.5,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,4,12,0.3333333333333330
Larus michahellis,Larus_michahellis,Charadriiformes,1,Nicastro et al. 2018,2014,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,2,4,0.5
Larus michahellis,Larus_michahellis,Charadriiformes,1,Nicastro et al. 2018,2015,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,3,18,0.16666666666666700
Larus michahellis,Larus_michahellis,Charadriiformes,1,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,4,35,0.11428571428571400
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Basto et al., 2019",2012,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,13,124,0.10483870967741900
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Coentro, 2022",2021,North Atlantic Ocean,Bolus,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,14,77,0.18181818181818200
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Coentro, 2022",2021,North Atlantic Ocean,Scat,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,22,32,0.6875
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Droguet, 2023",2020,North Atlantic Ocean,Bolus,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,120,143,0.8391608391608390
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Droguet, 2023",2021,North Atlantic Ocean,Bolus,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,139,177,0.7853107344632770
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Droguet, 2023",2022,North Atlantic Ocean,Bolus,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,166,217,0.7649769585253460
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Lopes et al., 2021",2018,North Atlantic Ocean,Bolus,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,489,1414,0.34582743988684600
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Lopes et al., 2022",2019.5,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,7,23,0.30434782608695700
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Navarro et al., 2023",2020.5,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,6,20,0.3
Larus michahellis,Larus_michahellis,Charadriiformes,NA,Nicastro et al. 2018,2014,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,0,3,0
Larus michahellis,Larus_michahellis,Charadriiformes,NA,Nicastro et al. 2018,2015,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,14,75,0.18666666666666700
Larus michahellis,Larus_michahellis,Charadriiformes,NA,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,5,16,0.3125
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Senes et al., 2023",2022,North Atlantic Ocean,Bolus,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,7,8,0.875
Larus michahellis,Larus_michahellis,Charadriiformes,NA,"Senes et al., 2023",2022,North Atlantic Ocean,Scat,1000,-0.06367662470866430,Fish,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Plunging,No,No,No,Yes,Yes,No,Yes,Yes,6,8,0.75
Larus pacificus,Larus_pacificus,Charadriiformes,NA,"Bartlett, 2019",2018.5,Southern Ocean,Bolus,1313.5,0.009251811056239620,Fish,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Scavenging,No,No,No,Yes,Yes,No,No,Yes,93,107,0.8691588785046730
Larus pacificus,Larus_pacificus,Charadriiformes,NA,"Stewart et al., 2020",2019,South Pacific Ocean,Bolus,1313.5,0.009251811056239620,Fish,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Scavenging,No,No,No,Yes,Yes,No,No,Yes,324,374,0.8663101604278080
Larus schistisagus,Larus_schistisagus,Charadriiformes,1,Robards 1993,1990.5,North Pacific Ocean,Necropsy,1323,0.011461763655176100,Fish,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,No,Yes,0,1,0
Larus smithsonianus,Larus_smithsonianus,Charadriiformes,1,"Jardine et al., 2021",2014.5,North Atlantic Ocean,Necropsy,1085,-0.04390336461291690,Fish,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Surface.Seizing,Yes,No,No,Yes,Yes,No,Yes,Yes,21,44,0.4772727272727270
Larus smithsonianus,Larus_smithsonianus,Charadriiformes,1,"Schutten et al., 2024",2020.5,North Atlantic Ocean,Necropsy,1085,-0.04390336461291690,Fish,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Surface.Seizing,Yes,No,No,Yes,Yes,No,Yes,Yes,33,46,0.717391304347826
Leucocarbo atriceps,Leucocarbo_atriceps,Suliformes,1,Ainley et al. 1990a,1986.5,Southern Ocean,Bolus,2491,0.2831696200296830,Fish,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,75,0
Leucocarbo atriceps,Leucocarbo_atriceps,Suliformes,NA,Ryan 1987,1982,Indian Ocean,Necropsy,2491,0.2831696200296830,Fish,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,0,12,0
Leucocarbo atriceps,Leucocarbo_atriceps,Suliformes,NA,"Slip et al., 1990",1988.5,South Pacific Ocean,Regurgitation,2491,0.2831696200296830,Fish,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Diving,No,No,Yes,No,No,No,No,No,5,64,0.078125
Leucophaeus atricilla,Leucophaeus_atricilla,Charadriiformes,NA,"Clark, 2021",2020,North Atlantic Ocean,Necropsy,308,-0.22465422454698500,Other.Inverts,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Surface.Seizing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,13,13,1
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Ainley et al. 1990a,1978,Southern Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,2,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Ainley et al. 1990a,1985.5,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,4,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Ainley et al. 1990a,1986,Southern Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,2,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Ainley et al. 1990a,1986.5,Southern Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,5,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Auman et al. 2004,2000.5,Indian Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,1,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Nel et al. 1999,1997,North Atlantic Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,2,2,1
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Petry et al. 2002,1997.5,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,4,10,0.4
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Roman et al. 2016,2013,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,3,4,0.75
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Roman et al. 2019,2010,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,1,1,1
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Roman et al. 2019,2013,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,2,3,0.6666666666666670
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Roman et al. 2019,2016,Indian Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,1,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Roman et al. 2019,2016,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,1,1,1
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,1,Tourinho et al. 2010,2007,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,2,2,1
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,Barbieri 2009,2001,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,9,14,0.6428571428571430
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,"Gallo et al., 2024",2019,South Atlantic Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,20,36,0.5555555555555560
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,Roman et al. 2019,2014,Indian Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,1,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,"Roman et al., 2019a",2015,Southern Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,5,8,0.625
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,Ryan 1987,1982,Indian Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,9,123,0.07317073170731710
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,"Slip et al., 1990",1977,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,0,2,0
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,"Slip et al., 1990",1988,South Pacific Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,2,5,0.4
Macronectes giganteus,Macronectes_giganteus,Procellariiformes,NA,"do Nascimiento, 2022",2018,South Atlantic Ocean,Necropsy,3697.5,0.5638336000946160,Carrion.NonFishVertebrates,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Scavenging,No,No,Yes,Yes,Yes,No,Yes,Yes,2,5,0.4
Macronectes halli,Macronectes_halli,Procellariiformes,1,Robertson et al. 2004,1998,South Pacific Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,1,4,0.25
Macronectes halli,Macronectes_halli,Procellariiformes,1,Roman et al. 2016,2013,South Pacific Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,1,1,1
Macronectes halli,Macronectes_halli,Procellariiformes,1,Roman et al. 2019,2015,South Pacific Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,1,2,0.5
Macronectes halli,Macronectes_halli,Procellariiformes,1,"Valls et al., 2015",2014,South Atlantic Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,1,1,1
Macronectes halli,Macronectes_halli,Procellariiformes,NA,"Muñoz et al., 2023",2011,South Atlantic Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,4,4,1
Macronectes halli,Macronectes_halli,Procellariiformes,NA,Roman et al. 2019,2016,South Pacific Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,0,1,0
Macronectes halli,Macronectes_halli,Procellariiformes,NA,"Roman et al., 2019a",2015,Southern Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,2,4,0.5
Macronectes halli,Macronectes_halli,Procellariiformes,NA,Ryan 1987,1982,Indian Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,3,42,0.07142857142857140
Macronectes halli,Macronectes_halli,Procellariiformes,NA,"Valls et al., 2015",2011,South Atlantic Ocean,Necropsy,4249,0.692127164127613,Carrion.NonFishVertebrates,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Scavenging,No,No,No,Yes,Yes,No,Yes,Yes,1,1,1
Megadyptes antipodes,Megadyptes_antipodes,Sphenisciformes,NA,Hocken 2005,2001.5,South Pacific Ocean,Necropsy,5330,0.9435965072276490,Fish,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Diving,No,Yes,Yes,No,No,No,No,No,0,124,0
Melanitta deglandi,Melanitta_deglandi,Anseriformes,NA,"Schutten et al., 2024",2021,North Atlantic Ocean,Necropsy,1757,0.11242170343816900,Other.Inverts,No,Yes,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,Yes,No,0,1,0
Melanitta fusca,Melanitta_fusca,Anseriformes,NA,"Morkūnas et al., 2021",2017,North Atlantic Ocean,Necropsy,1578,0.07078154394241860,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,Yes,No,0,246,0
Melanitta fusca,Melanitta_fusca,Anseriformes,NA,"van Franeker et al., 2024",2019,North Atlantic Ocean,Necropsy,1578,0.07078154394241860,Crustaceans,No,Yes,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,Yes,No,0,1,0
Melanitta nigra,Melanitta_nigra,Anseriformes,NA,"Basto et al., 2019",2012,North Atlantic Ocean,Necropsy,1077,-0.04576437732781070,Other.Inverts,No,No,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,No,No,0,2,0
Melanitta nigra,Melanitta_nigra,Anseriformes,NA,"Morkūnas et al., 2021",2017,North Atlantic Ocean,Necropsy,1077,-0.04576437732781070,Other.Inverts,No,No,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,No,No,0,27,0
Melanitta nigra,Melanitta_nigra,Anseriformes,NA,"van Franeker et al., 2024",2019,North Atlantic Ocean,Necropsy,1077,-0.04576437732781070,Other.Inverts,No,No,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,No,No,0,14,0
Melanitta perspicillata,Melanitta_perspicillata,Anseriformes,1,Avery-Gomm et al. 2013,2010,North Pacific Ocean,Necropsy,1097.5,-0.04099553224589520,Other.Inverts,No,Yes,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,No,No,0,2,0
Melanitta perspicillata,Melanitta_perspicillata,Anseriformes,1,Provencher et al. 2014,2006,North Atlantic Ocean,Necropsy,1097.5,-0.04099553224589520,Other.Inverts,No,Yes,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,No,No,0,38,0
Melanitta perspicillata,Melanitta_perspicillata,Anseriformes,NA,"Schutten et al., 2024",2021,North Atlantic Ocean,Necropsy,1097.5,-0.04099553224589520,Other.Inverts,No,Yes,No,Yes,Yes,No,No,No,No,No,Bottom.Feeding,No,Yes,Yes,No,No,No,No,No,0,1,0
Microcarbo coronatus,Microcarbo_coronatus,Suliformes,NA,Ryan 1987,1982,Indian Ocean,Necropsy,763,-0.11880912638739600,Fish,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Diving,No,Yes,Yes,No,No,No,No,No,0,24,0
Morus bassanus,Morus_bassanus,Suliformes,1,Codina-Garcia et al. 2013,2006.5,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,1,8,0.125
Morus bassanus,Morus_bassanus,Suliformes,1,"Garcês et al., 2024",2016,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,1,1,1
Morus bassanus,Morus_bassanus,Suliformes,1,Nicastro et al. 2018,2015,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,0,7,0
Morus bassanus,Morus_bassanus,Suliformes,1,Nicastro et al. 2018,2016,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,0,1,0
Morus bassanus,Morus_bassanus,Suliformes,1,Pierce et al. 2004,2004,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,1,1,1
Morus bassanus,Morus_bassanus,Suliformes,NA,"Basto et al., 2019",2012,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,1,21,0.047619047619047600
Morus bassanus,Morus_bassanus,Suliformes,NA,"Franco et al., 2019",2017,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,8,44,0.18181818181818200
Morus bassanus,Morus_bassanus,Suliformes,NA,Nicastro et al. 2018,2015,North Atlantic Ocean,Necropsy,2999.5,0.40146024072012500,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,Yes,No,0,8,0
Morus capensis,Morus_capensis,Suliformes,NA,"Cartraud et al., 2019",2009,Indian Ocean,Necropsy,2643.5,0.31864517490734700,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,No,No,1,2,0.5
Morus capensis,Morus_capensis,Suliformes,NA,Ryan 1987,1982,Indian Ocean,Necropsy,2643.5,0.31864517490734700,Fish,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,No,No,0,5,0
Morus serrator,Morus_serrator,Suliformes,1,"Gilbert et al., 2016",2011.5,South Pacific Ocean,Necropsy,2350,0.2503692709296780,Fish,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,No,No,0,6,0
Morus serrator,Morus_serrator,Suliformes,1,Roman et al. 2016,2013,South Pacific Ocean,Necropsy,2350,0.2503692709296780,Fish,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Plunging,No,No,No,Yes,Yes,No,No,No,0,14,0
Nannopterum auritum,Nannopterum_auritum,Suliformes,1,Avery-Gomm et al. 2013,2009,North Pacific Ocean,Necropsy,1674,0.09311369652114510,Fish,No,Yes,No,Yes,Yes,No,No,No,No,No,Diving,No,Yes,Yes,No,No,No,No,No,0,1,0
Nannopterum auritum,Nannopterum_auritum,Suliformes,1,Avery-Gomm et al. 2013,2010,North Pacific Ocean,Necropsy,1674,0.09311369652114510,Fish,No,Yes,No,Yes,Yes,No,No,No,No,No,Diving,No,Yes,Yes,No,No,No,No,No,0,1,0
Nannopterum auritum,Nannopterum_auritum,Suliformes,NA,"Clark, 2021",2020,North Atlantic Ocean,Necropsy,1674,0.09311369652114510,Fish,No,Yes,No,Yes,Yes,No,No,No,No,No,Diving,No,Yes,Yes,No,No,No,No,No,9,10,0.9
Nannopterum auritum,Nannopterum_auritum,Suliformes,NA,Day et al. 1984/Day 1980,1973,North Pacific Ocean,Necropsy,1674,0.09311369652114510,Fish,No,Yes,No,Yes,Yes,No,No,No,No,No,Diving,No,Yes,Yes,No,No,No,No,No,0,4,0
