HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Binomial,HBWv8.1_Genus,IUCN_2023,HBWv8.1_Synonyms
PROCELLARIIFORMES,Diomedeidae,NA,NA,Short-tailed Albatross,Phoebastria_albatrus,Phoebastria,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Atlantic Yellow-nosed Albatross,Thalassarche_chlororhynchos,Thalassarche,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Indian Yellow-nosed Albatross,Thalassarche_carteri,Thalassarche,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Grey-headed Albatross,Thalassarche_chrysostoma,Thalassarche,EN,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Black-browed Albatross,Thalassarche_melanophris,Thalassarche,LC,Thalassarche melanophris
PROCELLARIIFORMES,Diomedeidae,NA,NA,Buller's Albatross,Thalassarche_bulleri,Thalassarche,NT,Diomedea bulleri
PROCELLARIIFORMES,Diomedeidae,NA,NA,Shy Albatross,Thalassarche_cauta,Thalassarche,NT,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Chatham Albatross,Thalassarche_eremita,Thalassarche,VU,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,Salvin's Albatross,Thalassarche_salvini,Thalassarche,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Northern Giant Petrel,Macronectes_halli,Macronectes,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Southern Giant Petrel,Macronectes_giganteus,Macronectes,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Northern Fulmar,Fulmarus_glacialis,Fulmarus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Southern Fulmar,Fulmarus_glacialoides,Fulmarus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Antarctic Petrel,Thalassoica_antarctica,Thalassoica,LC,NA
