tips,total_plastic,total_n,species_FO,n_studies,plastic,clements2025_binomial,Clements2025_Order,Clements2025_Family,Clements2025_Common_name,Clements2025_Genus,studied,well_studied,mean_species_FO_weighted,Family
Larus_michahellis,1072,2507,0.42760271240526526,19,yes,Larus michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Yellow-legged Gull,Larus,yes,yes,0.31647387999699833,Laridae
Larus_pacificus,417,481,0.8669438669438669,2,yes,Larus pacificus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Pacific Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_schistisagus,0,1,0,1,no,Larus schistisagus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Slaty-backed Gull,Larus,yes,no,0.31647387999699833,Laridae
Larus_smithsonianus,54,90,0.6,2,yes,Larus smithsonianus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",American Herring Gull,Larus,yes,no,0.31647387999699833,Laridae
Leucocarbo_atriceps,5,151,0.03311258278145695,3,yes,Leucocarbo atriceps,Suliformes,Phalacrocoracidae (Cormorants and Shags),Imperial Cormorant,Leucocarbo,yes,yes,0.31647387999699833,Phalacrocoracidae
Leucocarbo_bougainvilliorum,162,2286,0.07086614173228346,3,yes,Leucocarbo bougainvilliorum,Suliformes,Phalacrocoracidae (Cormorants and Shags),Guanay Cormorant,Leucocarbo,yes,yes,0.31647387999699833,Phalacrocoracidae
Leucophaeus_atricilla,13,13,1,1,yes,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Laughing Gull,Leucophaeus,yes,no,0.31647387999699833,Laridae
Macronectes_giganteus,110,305,0.3606557377049181,22,yes,Macronectes giganteus,Procellariiformes,Procellariidae (Shearwaters and Petrels),Southern Giant-Petrel,Macronectes,yes,yes,0.31647387999699833,Procellariidae
Macronectes_halli,14,60,0.23333333333333336,9,yes,Macronectes halli,Procellariiformes,Procellariidae (Shearwaters and Petrels),Northern Giant-Petrel,Macronectes,yes,no,0.31647387999699833,Procellariidae
Megadyptes_antipodes,0,124,0,1,no,Megadyptes antipodes,Sphenisciformes,Spheniscidae (Penguins),Yellow-eyed Penguin,Megadyptes,yes,no,0.31647387999699833,Spheniscidae
Melanitta_deglandi,1,22,0.04545454545454545,3,yes,Melanitta deglandi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",White-winged Scoter,Melanitta,yes,no,0.31647387999699833,Anatidae
Melanitta_fusca,0,247,0,2,no,Melanitta fusca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Velvet Scoter,Melanitta,yes,no,0.31647387999699833,Anatidae
Melanitta_nigra,0,43,0,3,no,Melanitta nigra,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Scoter,Melanitta,yes,no,0.31647387999699833,Anatidae
Melanitta_perspicillata,0,52,0,4,no,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Surf Scoter,Melanitta,yes,no,0.31647387999699833,Anatidae
Mergus_merganser,0,2,0,1,no,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Merganser,Mergus,yes,no,0.31647387999699833,Anatidae
Mergus_serrator,4,10,0.4,3,yes,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Red-breasted Merganser,Mergus,yes,no,0.31647387999699833,Anatidae
Microcarbo_coronatus,0,24,0,1,no,Microcarbo coronatus,Suliformes,Phalacrocoracidae (Cormorants and Shags),Crowned Cormorant,Microcarbo,yes,no,0.31647387999699833,Phalacrocoracidae
Morus_bassanus,12,91,0.13186813186813187,9,yes,Morus bassanus,Suliformes,Sulidae (Boobies and Gannets),Northern Gannet,Morus,yes,no,0.31647387999699833,Sulidae
Morus_capensis,1,7,0.14285714285714285,2,yes,Morus capensis,Suliformes,Sulidae (Boobies and Gannets),Cape Gannet,Morus,yes,no,0.31647387999699833,Sulidae
Morus_serrator,0,20,0,2,no,Morus serrator,Suliformes,Sulidae (Boobies and Gannets),Australasian Gannet,Morus,yes,no,0.31647387999699833,Sulidae
Nannopterum_auritum,45,74,0.6081081081081081,7,yes,Nannopterum auritum,Suliformes,Phalacrocoracidae (Cormorants and Shags),Double-crested Cormorant,Nannopterum,yes,no,0.31647387999699833,Phalacrocoracidae
Nannopterum_brasilianum,73,1450,0.0503448275862069,4,yes,Nannopterum brasilianum,Suliformes,Phalacrocoracidae (Cormorants and Shags),Neotropic Cormorant,Nannopterum,yes,yes,0.31647387999699833,Phalacrocoracidae
Nesofregetta_fuliginosa,0,22,0,2,no,Nesofregetta fuliginosa,Procellariiformes,Oceanitidae (Southern Storm-Petrels),Polynesian Storm-Petrel,Nesofregetta,yes,no,0.31647387999699833,Oceanitidae
Oceanites_gracilis,0,2,0,1,no,Oceanites gracilis,Procellariiformes,Oceanitidae (Southern Storm-Petrels),Elliot's Storm-Petrel,Oceanites,yes,no,0.31647387999699833,Oceanitidae
Oceanites_oceanicus,57,276,0.2065217391304348,12,yes,Oceanites oceanicus,Procellariiformes,Oceanitidae (Southern Storm-Petrels),Wilson's Storm-Petrel,Oceanites,yes,yes,0.31647387999699833,Oceanitidae
Onychoprion_aleuticus,0,8,0,1,no,Onychoprion aleuticus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Aleutian Tern,Onychoprion,yes,no,0.31647387999699833,Laridae
Onychoprion_anaethetus,0,1,0,1,no,Onychoprion anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Bridled Tern,Onychoprion,yes,no,0.31647387999699833,Laridae
Onychoprion_fuscatus,8,684,0.01169590643274853,15,yes,Onychoprion fuscatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sooty Tern,Onychoprion,yes,yes,0.31647387999699833,Laridae
Onychoprion_lunatus,0,354,0,8,no,Onychoprion lunatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gray-backed Tern,Onychoprion,yes,yes,0.31647387999699833,Laridae
Pachyptila_belcheri,153,395,0.38734177215189874,16,yes,Pachyptila belcheri,Procellariiformes,Procellariidae (Shearwaters and Petrels),Slender-billed Prion,Pachyptila,yes,yes,0.31647387999699833,Procellariidae
Pachyptila_desolata,87,164,0.5304878048780488,16,yes,Pachyptila desolata,Procellariiformes,Procellariidae (Shearwaters and Petrels),Antarctic Prion,Pachyptila,yes,yes,0.31647387999699833,Procellariidae
Pachyptila_salvini,185,745,0.24832214765100671,11,yes,Pachyptila salvini,Procellariiformes,Procellariidae (Shearwaters and Petrels),Salvin's Prion,Pachyptila,yes,yes,0.31647387999699833,Procellariidae
Pachyptila_turtur,449,1403,0.32002851033499646,21,yes,Pachyptila turtur,Procellariiformes,Procellariidae (Shearwaters and Petrels),Fairy Prion,Pachyptila,yes,yes,0.31647387999699833,Procellariidae
Pachyptila_vittata,757,1691,0.4476641040804258,21,yes,Pachyptila vittata,Procellariiformes,Procellariidae (Shearwaters and Petrels),Broad-billed Prion,Pachyptila,yes,yes,0.31647387999699833,Procellariidae
Pagodroma_nivea,10,551,0.01814882032667876,7,yes,Pagodroma nivea,Procellariiformes,Procellariidae (Shearwaters and Petrels),Snow Petrel,Pagodroma,yes,yes,0.31647387999699833,Procellariidae
Pagophila_eburnea,0,1,0,1,no,Pagophila eburnea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Ivory Gull,Pagophila,yes,no,0.31647387999699833,Laridae
Pelagodroma_marina,954,1383,0.6898047722342733,15,yes,Pelagodroma marina,Procellariiformes,Oceanitidae (Southern Storm-Petrels),White-faced Storm-Petrel,Pelagodroma,yes,yes,0.31647387999699833,Oceanitidae
Pelecanoides_georgicus,0,14,0,3,no,Pelecanoides georgicus,Procellariiformes,Procellariidae (Shearwaters and Petrels),South Georgia Diving-Petrel,Pelecanoides,yes,no,0.31647387999699833,Procellariidae
Pelecanoides_magellani,0,1,0,1,no,Pelecanoides magellani,Procellariiformes,Procellariidae (Shearwaters and Petrels),Magellanic Diving-Petrel,Pelecanoides,yes,no,0.31647387999699833,Procellariidae
Pelecanoides_urinatrix,7,165,0.04242424242424243,11,yes,Pelecanoides urinatrix,Procellariiformes,Procellariidae (Shearwaters and Petrels),Common Diving-Petrel,Pelecanoides,yes,yes,0.31647387999699833,Procellariidae
Pelecanus_conspicillatus,4,17,0.2352941176470588,1,yes,Pelecanus conspicillatus,Pelecaniformes,Pelecanidae (Pelicans),Australian Pelican,Pelecanus,yes,no,0.31647387999699833,Pelecanidae
Pelecanus_erythrorhynchos,0,2,0,1,no,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae (Pelicans),American White Pelican,Pelecanus,yes,no,0.31647387999699833,Pelecanidae
Pelecanus_occidentalis,26,26,1,2,yes,Pelecanus occidentalis,Pelecaniformes,Pelecanidae (Pelicans),Brown Pelican,Pelecanus,yes,no,0.31647387999699833,Pelecanidae
